path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,class
0.010091918,b,b,a,m,b,a,a,b,a,b,m,b,b,b,b,m,m,b,b,m,b,b,a,b,m,a,m,m,m,1
0.008799387,a,a,a,a,b,b,a,b,b,b,b,a,a,m,m,m,b,b,b,m,a,a,m,b,b,a,a,m,b,1
0.0071204323,m,a,m,m,b,b,a,b,b,b,a,a,m,a,b,m,b,m,m,b,a,a,a,b,b,b,a,a,m,1
0.008721141,m,a,m,b,b,b,a,b,b,b,m,a,b,a,b,m,b,m,a,b,m,a,m,b,b,m,m,a,m,1
0.011074476,a,a,a,m,b,m,a,b,a,b,m,b,b,m,b,m,m,b,m,b,b,m,a,b,b,m,m,a,m,1
0.007185819,a,a,m,m,b,b,a,b,b,b,a,a,a,m,m,a,b,b,b,m,a,a,a,b,b,m,a,a,b,1
0.010834097,m,a,a,m,b,a,a,b,a,b,b,b,b,b,m,m,b,b,b,a,b,b,b,b,b,a,m,m,b,1
0.00874137,a,a,m,b,b,b,a,b,m,b,a,a,b,a,b,m,b,m,a,b,a,a,m,b,b,m,a,a,m,1
0.006152821,m,m,a,m,b,m,a,b,b,b,b,b,b,b,b,b,b,b,b,a,b,m,a,m,b,a,b,a,a,1
0.0059054606,m,m,a,a,b,a,a,b,m,m,b,m,b,b,m,a,b,m,m,m,a,m,a,b,b,a,m,m,b,1
0.0058844867,m,m,a,a,b,b,m,b,m,b,b,m,b,a,m,b,b,b,b,m,a,m,a,b,b,b,m,m,a,1
0.0070863324,b,a,a,m,b,m,a,b,a,b,b,b,b,b,m,a,b,b,b,b,b,b,a,b,m,m,b,m,m,1
0.008986488,a,a,m,m,b,b,a,b,a,b,a,b,b,m,b,a,b,b,b,b,m,m,a,b,b,m,m,a,m,1
0.007995657,a,a,m,b,b,b,a,b,b,b,a,a,m,a,m,a,b,b,m,b,b,a,m,a,m,m,a,m,a,1
0.0071306345,a,a,a,b,b,b,a,b,m,b,a,a,b,a,b,a,b,b,b,m,b,a,a,b,m,m,a,m,a,1
0.0060947235,b,m,a,m,b,b,b,b,a,b,m,b,b,b,b,b,b,b,b,m,b,b,a,b,b,m,a,a,m,1
0.011459707,m,b,a,m,m,m,m,b,a,b,b,b,b,m,m,a,m,b,b,b,a,m,a,b,m,a,b,m,b,1
0.0066381115,a,a,m,m,b,m,a,b,b,b,m,a,m,a,b,m,b,a,b,b,a,a,m,b,m,m,a,a,m,1
0.007921398,a,a,a,a,b,m,a,b,m,b,b,a,a,a,b,b,b,b,a,b,b,a,m,b,b,m,m,a,m,1
0.008865052,a,m,a,a,b,m,a,b,a,b,a,m,b,m,b,m,b,b,b,b,b,b,a,b,b,a,m,m,b,1
0.009356354,a,b,a,a,b,a,a,b,m,b,b,b,b,b,m,b,b,b,b,m,m,b,a,b,b,a,m,m,b,1
0.00889014,a,a,a,m,a,b,a,m,b,b,b,a,b,m,m,m,b,a,m,b,m,a,m,b,b,m,a,m,b,1
0.007874645,m,m,a,a,b,m,b,b,m,b,a,b,b,a,b,a,b,b,b,b,b,a,a,b,b,m,m,m,b,1
0.00784536,a,a,a,a,b,b,a,b,m,b,b,m,b,m,b,m,b,b,b,b,b,b,a,m,b,m,a,a,b,1
0.004232032,b,b,m,m,b,m,m,b,m,b,b,b,b,b,b,b,b,b,b,m,m,a,a,b,b,m,b,a,b,1
0.00861785,a,m,a,a,b,b,m,b,m,b,b,m,b,b,b,m,b,b,b,b,m,m,a,b,m,m,m,m,b,1
