path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,class
0.13379194,b,b,a,a,a,b,b,m,a,a,a,a,b,a,m,m,b,b,b,b,b,a,a,b,a,a,a,b,b,1
-0.0983814,m,a,b,m,b,a,a,m,b,a,m,a,a,b,b,a,a,b,b,b,a,b,b,a,b,a,m,b,m,1
0.01722843,m,a,b,m,b,a,a,a,b,b,m,a,a,b,b,m,a,b,b,b,b,m,b,m,b,a,b,m,m,1
-0.1088603,m,a,m,a,b,a,a,a,b,m,b,a,m,b,b,m,a,b,b,b,a,m,b,a,b,a,m,a,a,1
0.31176957,m,a,a,m,a,a,m,a,m,a,m,a,a,m,m,a,m,b,m,b,m,m,m,a,a,a,a,m,a,1
-0.022272093,b,a,b,m,b,a,m,a,a,m,m,a,a,a,m,a,a,b,b,b,b,b,a,m,b,a,b,a,m,1
0.078900374,m,a,a,a,m,b,b,b,m,a,m,m,b,m,m,b,b,b,b,b,b,a,m,m,b,a,b,m,a,1
-0.03711396,b,m,b,m,b,a,a,a,b,b,m,a,a,b,b,m,a,b,b,b,b,m,b,a,b,m,b,b,a,1
-0.08832044,b,b,b,a,b,m,m,a,b,a,b,m,a,a,b,m,m,b,a,b,b,b,b,a,b,m,b,b,a,1
-0.010329188,b,m,a,m,a,b,m,m,m,b,m,b,b,a,a,b,b,m,m,b,b,m,a,m,a,m,m,b,b,1
-0.009348474,m,a,m,b,b,b,a,a,a,a,a,a,a,m,b,a,m,b,a,b,b,a,a,m,b,m,a,b,m,1
0.23758166,a,a,a,a,a,b,b,b,m,m,m,a,a,a,m,m,a,b,m,b,b,m,a,m,b,a,a,b,a,1
0.4193708,a,a,a,a,b,a,a,a,b,a,m,a,a,b,b,a,m,b,a,b,b,m,m,a,m,a,a,b,a,1
-0.17274502,a,a,a,a,b,m,a,a,m,m,m,a,a,m,b,a,a,b,b,b,b,m,b,a,b,a,b,b,m,1
-0.15404566,a,a,a,m,b,m,m,a,m,a,m,a,a,m,b,a,a,b,b,b,b,m,a,b,b,a,m,b,a,1
-0.17325357,b,a,m,m,b,m,b,b,b,a,m,a,a,a,b,m,m,b,m,b,b,b,m,b,m,a,b,m,a,1
0.12982266,a,a,m,a,b,a,a,m,a,a,m,a,m,m,m,a,m,b,m,b,m,m,a,m,a,a,a,m,m,1
-0.10849674,a,a,m,m,b,m,b,a,b,b,b,a,a,m,b,a,a,b,b,b,b,b,b,m,b,a,b,b,b,1
0.842438,a,a,m,a,b,a,a,a,m,m,m,a,a,m,m,a,a,b,m,b,a,m,a,m,m,a,m,b,a,1
0.076210834,a,a,a,b,m,m,m,a,m,a,m,a,a,m,m,m,m,b,b,b,b,b,a,m,m,a,a,b,a,1
0.036163855,m,a,b,m,a,a,b,a,a,a,m,m,m,a,a,b,m,b,m,b,b,a,m,m,a,m,m,b,b,1
0.17699419,m,a,b,m,b,m,a,a,b,b,m,a,a,b,b,m,m,b,b,b,a,m,b,a,b,a,b,b,b,1
0.21660343,a,a,a,a,b,a,a,a,b,m,b,a,m,m,m,m,a,b,b,b,b,m,a,a,b,a,m,m,a,1
-0.12827,a,a,a,a,b,a,a,m,a,m,m,a,b,m,m,m,a,b,b,b,b,b,a,m,b,a,b,b,a,1
-0.20681189,b,m,a,b,b,m,a,a,b,a,b,m,a,b,b,m,b,b,a,b,m,b,b,a,b,b,m,b,a,1
-0.008468075,m,a,a,a,a,a,m,a,m,a,m,m,b,m,a,a,m,b,m,m,b,a,a,b,m,a,m,m,m,1
0.13960363,m,a,a,a,a,b,m,a,b,a,b,m,a,b,b,m,m,b,a,b,m,m,m,a,a,a,a,b,m,1
-0.06748196,a,a,a,a,b,m,a,a,b,m,b,a,a,m,b,a,a,b,b,b,b,m,m,a,b,a,m,b,m,1
0.018541323,b,m,a,a,m,b,a,b,a,b,b,b,m,a,a,b,b,b,m,b,b,a,m,m,m,m,a,b,a,1
0.6815959,a,a,m,a,m,m,a,b,m,m,a,b,b,m,b,m,m,b,a,b,m,a,m,b,a,a,m,b,b,1
-0.011352576,a,a,m,m,m,a,a,a,a,a,m,a,m,m,b,a,m,b,m,b,b,m,b,a,b,m,a,b,a,1
0.2693595,a,a,b,a,b,a,m,b,m,a,m,a,a,b,b,a,a,b,b,b,b,m,a,m,b,a,a,a,m,1
0.34098002,a,a,a,a,b,a,a,a,b,a,m,a,m,b,b,a,a,b,b,b,b,b,a,b,b,a,m,b,a,1
0.17942528,a,a,a,a,m,a,a,a,b,m,b,a,a,b,m,a,m,b,m,m,a,m,a,a,a,a,a,b,b,1
0.29023093,a,a,a,m,b,b,m,a,m,a,b,a,a,b,b,m,a,b,b,b,b,b,m,m,m,a,b,b,a,1
0.08577477,a,a,a,m,b,a,a,a,b,m,b,a,m,a,b,m,b,b,b,b,m,a,m,a,b,a,a,m,a,1
0.20210548,b,a,a,a,m,a,m,b,m,b,b,b,b,m,a,m,m,b,b,a,m,m,m,b,a,m,a,b,b,1
0.015522718,a,a,m,a,b,a,a,a,b,a,b,a,a,b,b,a,a,b,m,b,m,b,m,m,m,a,a,b,a,1
0.2022508,m,a,m,a,m,a,a,a,m,b,m,b,b,m,m,b,m,a,m,m,m,a,b,m,a,m,b,m,m,0
-0.10794267,b,a,m,a,m,m,b,b,m,b,m,b,b,m,a,b,m,m,m,m,m,a,a,b,a,b,b,m,m,0
0.080589496,b,b,b,b,b,m,a,b,b,b,m,b,m,m,m,m,b,m,m,b,m,m,b,b,m,m,b,b,b,0
0.08907891,m,a,b,a,b,m,a,m,a,b,m,b,b,a,b,b,m,m,a,m,a,a,a,b,a,a,m,b,b,0
-0.12826279,b,b,m,m,m,b,b,b,b,b,b,b,b,a,a,m,b,m,m,b,b,a,m,b,a,b,m,m,b,0
0.2758263,b,b,b,m,a,b,b,b,a,b,a,b,b,a,a,m,b,a,a,b,b,a,a,b,a,b,a,m,b,0
-0.029833881,b,b,b,m,a,b,b,b,a,b,a,b,b,a,a,b,m,a,m,b,b,a,a,b,a,m,b,m,b,0
-0.15175334,b,b,m,b,b,b,b,b,b,m,b,a,b,m,b,b,b,b,b,b,b,m,b,b,m,b,b,a,b,0
-0.10272108,b,b,b,b,a,b,b,b,a,b,a,b,b,a,a,b,b,m,a,b,b,a,m,b,m,b,b,b,m,0
0.1936557,b,m,m,b,a,b,b,b,b,b,m,b,b,m,a,b,b,a,a,b,m,a,a,b,a,b,b,b,m,0
0.27908558,b,b,b,b,a,b,b,b,a,b,a,b,b,a,a,m,b,a,a,b,b,a,a,b,a,m,b,b,b,0
-0.04480259,m,a,b,b,a,b,b,b,m,m,m,b,b,a,a,b,b,a,a,b,b,a,m,b,a,b,b,b,b,0
-0.16569231,b,b,b,b,a,b,b,b,a,b,m,b,b,a,m,b,b,a,m,b,m,a,m,b,a,b,b,b,m,0
-0.15418623,b,b,m,b,a,b,b,b,m,b,m,b,b,a,m,b,b,m,m,b,b,a,b,b,m,b,b,b,b,0
-0.02690882,b,b,b,a,m,b,m,b,b,m,m,m,b,a,a,b,b,b,a,b,b,b,m,b,a,m,b,b,b,0
-0.14207113,b,b,b,b,a,b,b,b,b,b,m,b,b,a,a,b,b,b,m,b,b,a,m,b,m,b,m,b,b,0
-0.13981041,b,b,b,m,m,b,b,b,b,b,m,m,b,b,a,b,b,a,a,m,b,a,b,b,a,b,a,b,m,0
-0.16306481,b,b,b,b,a,b,b,b,a,b,m,b,b,a,m,b,b,m,a,b,b,a,m,b,m,b,b,b,b,0
-0.05449481,b,a,b,b,b,b,m,b,b,b,m,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,0
-0.16473179,b,b,a,m,b,b,m,b,b,m,m,b,b,m,b,b,b,b,m,b,b,b,b,b,a,b,b,b,b,0
0.051031686,b,b,b,a,a,b,b,b,m,b,a,m,b,a,a,b,b,a,b,b,b,m,a,b,a,m,b,b,a,0
0.3766131,b,b,b,b,a,b,b,b,b,b,a,b,b,a,a,b,b,m,m,b,b,a,m,m,m,b,b,m,b,0
-0.16832718,b,b,m,a,a,b,b,b,a,b,m,b,b,a,a,b,b,a,a,b,b,a,a,b,a,b,b,b,b,0
-0.101651,b,b,b,b,a,b,b,b,m,b,a,b,b,m,a,b,b,m,m,b,b,m,a,b,a,b,b,b,b,0
0.31192103,b,b,b,m,a,b,b,b,m,b,m,b,b,a,a,b,b,m,a,b,b,a,a,b,a,m,m,b,b,0
-0.12959112,b,b,b,b,a,b,b,b,m,b,m,b,b,a,a,b,b,m,m,b,b,a,a,b,a,b,b,b,b,0
0.1931041,b,b,m,a,a,b,b,b,b,b,a,b,b,a,a,b,b,a,m,b,b,m,m,b,a,b,b,b,b,0
-0.09243625,b,b,b,b,a,b,b,b,m,b,a,b,b,a,a,b,b,a,m,b,b,a,a,b,a,b,b,b,m,0
-0.14430115,b,b,m,b,a,b,b,b,b,b,m,b,b,a,a,b,b,m,m,b,b,m,a,b,a,b,b,b,m,0
-0.057601836,b,b,m,b,b,b,b,b,m,b,m,b,a,a,m,m,b,m,a,b,b,a,b,m,a,b,b,b,b,0
0.086883314,b,b,b,m,a,b,b,b,m,b,a,b,b,a,a,b,b,a,m,b,b,m,a,b,a,m,b,m,m,0
-0.06994964,b,b,m,b,a,b,b,b,b,b,m,b,b,m,a,b,b,a,m,b,b,m,m,b,a,b,b,b,b,0
-0.074272364,b,b,b,b,m,b,a,b,b,b,b,b,b,m,a,b,b,m,b,b,b,m,m,b,a,b,b,b,b,0
0.1754663,b,b,a,a,a,b,b,b,b,b,m,b,b,a,a,b,b,m,m,b,b,a,a,b,a,b,m,m,b,0
-0.11157229,b,b,m,b,b,b,m,a,b,b,m,m,a,a,b,m,b,b,b,b,b,m,b,a,b,b,b,b,b,0
0.016677743,b,b,b,a,a,b,b,b,b,b,m,b,b,m,a,b,b,a,m,b,b,a,a,b,a,b,b,b,b,0
-0.18067496,b,m,a,m,b,b,b,m,m,m,m,a,m,a,m,m,b,m,m,b,b,b,b,b,m,b,b,b,m,0
-0.068759926,m,m,m,b,b,b,m,a,a,m,a,b,m,a,a,b,m,b,b,b,b,a,m,m,a,m,b,b,m,0
0.31056103,m,a,b,a,b,b,m,m,b,m,b,a,m,m,b,b,m,b,b,b,m,m,m,m,m,a,b,m,m,0
0.23622984,m,m,b,a,b,m,m,m,b,m,m,a,m,a,m,b,m,m,b,b,b,m,m,m,b,m,b,m,b,0
-0.10102158,b,b,b,b,a,b,b,b,a,b,m,b,b,a,a,b,b,m,a,b,b,m,a,b,a,b,b,b,b,0
0.05751708,b,m,a,a,a,b,m,b,m,b,m,b,b,a,a,b,b,m,a,b,m,a,a,b,a,m,b,b,b,0
-0.07847235,b,b,b,b,b,b,b,a,m,b,m,b,m,a,m,b,b,a,m,b,b,a,m,b,a,b,b,b,m,0
-0.06330111,b,b,m,m,a,b,m,b,a,b,a,b,b,a,a,b,b,a,a,b,m,a,a,b,a,b,b,b,b,0
0.035108812,b,m,m,m,b,b,m,m,m,m,m,a,a,a,b,b,b,m,m,b,b,a,b,m,m,b,b,b,m,0
0.25303873,b,b,m,a,m,b,m,b,m,b,m,b,b,m,a,m,b,a,m,b,b,a,m,b,a,b,b,a,m,0
-0.12352452,b,m,b,b,b,b,b,m,b,b,m,m,a,m,b,m,b,m,b,b,b,m,b,m,b,b,b,b,b,0
-0.15364963,b,b,a,b,m,b,b,b,m,b,b,b,b,a,a,b,b,m,a,b,m,m,b,b,a,b,b,b,b,0
-0.18628198,b,b,b,b,a,b,b,b,a,b,m,b,b,a,a,b,b,m,m,b,b,a,a,b,a,b,b,b,b,0
-0.12776256,b,b,b,b,a,b,b,b,m,b,a,b,b,a,a,b,b,m,m,b,b,a,a,b,a,m,b,b,b,0
0.195027,b,b,b,b,a,b,b,b,m,m,m,b,b,a,m,b,b,m,a,b,b,a,a,b,m,m,b,b,m,0
-0.06034024,b,b,m,b,b,b,b,m,b,b,b,b,m,m,b,m,b,b,b,b,b,a,b,b,b,b,b,b,m,0
-0.12634116,b,b,a,b,b,b,a,b,b,b,b,b,b,a,a,b,b,b,m,m,m,m,b,b,a,b,b,b,m,0
0.12612125,b,m,b,a,a,b,b,b,b,b,b,b,b,a,a,b,b,a,m,m,m,a,b,m,a,b,b,b,m,0
-0.006457663,a,a,m,a,a,b,b,b,a,b,a,b,b,a,m,b,m,m,a,b,b,a,m,b,a,m,m,b,m,0
-0.19037704,b,b,a,b,m,b,b,b,b,b,b,b,b,a,m,b,b,a,a,m,m,m,b,b,a,b,b,b,m,0
-0.15726356,m,a,m,m,a,b,b,b,m,b,m,m,b,a,a,b,m,a,m,b,b,a,a,b,a,a,b,b,b,0
-0.01802846,m,m,b,m,b,b,m,a,b,m,m,m,a,a,b,m,b,m,a,b,b,m,b,m,b,b,b,b,b,0
0.047827985,b,b,b,a,b,b,m,b,b,b,b,b,b,m,m,m,b,a,m,m,m,a,m,b,a,b,a,b,b,0
-0.106025875,b,b,a,b,a,b,b,b,m,b,m,b,m,m,m,b,b,m,a,b,m,a,m,b,a,b,b,b,m,0
0.020921992,b,b,m,m,a,b,b,b,b,b,m,m,m,a,a,b,b,a,m,b,b,a,m,b,a,m,b,b,m,0
-0.19950391,b,b,b,b,b,b,b,b,b,b,b,b,b,m,m,m,b,m,a,m,b,a,b,b,a,a,a,b,b,0
-0.10724703,b,b,b,b,a,b,b,b,b,b,m,b,b,a,a,b,b,m,m,b,b,a,m,b,a,b,b,b,b,0
-0.052696165,b,m,m,m,b,b,b,a,b,m,m,m,a,m,b,b,b,m,m,b,a,a,b,a,b,b,b,b,m,0
-0.16012323,b,b,b,b,a,b,b,b,m,m,m,b,b,a,m,m,b,a,a,b,b,a,m,b,a,b,m,m,b,0
-0.19122215,b,b,b,b,a,b,b,b,a,b,m,b,b,a,a,b,b,a,a,b,b,a,m,b,a,b,b,b,b,0
0.016106732,b,m,a,a,b,b,a,a,m,b,b,m,b,a,m,m,b,b,a,m,a,m,m,m,a,m,b,b,b,0
-0.11081358,b,b,m,b,b,b,b,m,b,b,m,b,a,m,b,m,b,b,m,b,b,m,b,m,m,b,b,b,b,0
0.23753613,m,a,m,a,b,m,a,m,b,b,m,b,a,b,b,m,b,b,b,b,a,a,b,a,b,b,b,b,a,0
-0.103022255,b,b,b,a,a,b,m,b,a,m,a,m,b,a,a,b,b,m,m,m,b,m,a,b,a,m,b,b,m,0
-0.1532171,b,b,m,a,a,b,m,b,a,b,m,b,b,a,a,b,b,a,a,b,a,a,b,b,a,b,b,b,b,0
0.40689254,m,a,b,a,b,m,a,b,b,b,b,b,a,m,b,b,b,b,b,b,a,m,b,m,b,b,b,b,m,0
0.07483184,b,m,b,a,a,b,b,b,b,b,m,b,b,m,a,b,b,m,m,b,b,a,m,m,a,m,b,b,b,0
0.083377704,b,b,b,a,a,b,m,b,m,b,m,b,m,a,a,b,m,m,m,b,b,a,a,b,a,a,b,b,b,0
-0.052704584,b,m,b,b,b,b,m,m,a,b,m,m,m,a,m,m,b,a,b,b,b,m,b,b,b,m,b,b,m,0
-0.0802102,b,b,m,m,m,b,b,b,m,b,b,b,b,a,m,b,b,m,a,m,b,m,m,m,a,b,a,b,b,0
-0.098822415,b,b,b,b,b,b,b,b,a,m,a,b,b,m,a,b,b,m,m,b,b,b,b,a,a,m,b,b,m,0
-0.1678897,a,m,m,m,a,b,b,b,m,b,m,m,b,a,a,b,b,a,a,a,a,a,m,b,a,b,b,b,b,0
-0.058342554,b,b,a,b,b,b,b,b,b,b,b,b,b,m,a,b,b,b,b,b,b,m,b,b,a,b,a,b,b,0
0.06349639,m,a,m,a,a,b,m,b,a,b,m,m,m,m,b,m,m,a,a,b,b,m,m,b,a,m,b,b,m,0
-0.05315894,b,b,a,m,a,b,b,m,a,b,a,b,b,a,a,b,b,a,a,m,b,a,m,a,a,b,b,b,b,0
0.050190303,m,a,m,a,a,b,b,m,b,m,m,b,b,a,a,b,b,a,b,m,b,m,m,b,a,m,b,m,b,0
-0.07209995,m,a,a,b,a,b,b,b,m,b,m,b,a,a,m,b,b,b,m,b,b,a,a,b,m,m,b,b,b,0
-0.16668999,b,b,m,b,a,b,b,b,m,b,b,b,b,m,a,b,b,m,a,b,b,a,m,b,a,b,b,b,m,0
0.09968199,b,b,m,a,a,b,b,b,m,b,m,b,b,a,a,b,b,a,m,b,b,a,a,b,a,b,b,b,b,0
0.4757913,m,a,m,a,a,b,b,m,m,m,a,b,m,a,a,b,b,m,m,b,b,m,m,b,a,m,b,b,a,0
-0.11324889,a,a,m,a,a,b,m,b,a,m,m,b,b,a,a,b,m,a,a,a,a,a,b,a,a,m,b,b,b,0
0.0052987523,m,m,b,m,m,m,m,a,b,m,a,b,b,a,a,m,b,a,m,b,m,m,b,b,m,b,b,b,b,0
-0.008242419,b,b,m,b,b,b,m,m,a,b,m,b,a,a,b,b,b,a,a,b,b,m,b,a,b,m,b,b,a,0
