path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,class
0.61081386,b,a,b,a,b,a,m,a,a,a,b,b,m,m,a,a,a,a,b,m,m,m,a,m,a,m,m,a,m,1
0.014873835,b,a,b,b,a,a,b,b,b,a,b,b,b,b,b,m,b,m,b,b,b,b,b,b,a,m,a,m,a,1
0.37572888,b,a,m,a,a,a,m,a,b,b,b,m,b,b,m,b,b,m,b,b,a,m,m,b,a,m,m,a,a,1
0.15771115,b,m,b,a,a,a,m,a,b,b,b,a,b,m,a,a,b,b,m,a,m,m,a,b,a,m,a,a,a,1
0.000168596,b,m,b,b,m,a,m,m,m,a,b,b,b,b,a,b,b,m,b,m,a,m,m,a,a,m,m,m,a,1
0.09248917,b,a,b,m,a,a,m,a,m,b,a,b,b,m,a,m,b,a,b,m,a,b,a,b,a,a,a,a,a,1
0.19233619,b,a,a,b,m,a,m,a,m,b,m,m,m,b,a,m,m,a,b,b,a,m,a,m,a,m,m,m,m,1
0.020010656,b,m,b,a,a,a,m,m,b,b,b,a,b,m,b,b,b,m,b,m,m,m,a,m,b,b,a,a,a,1
0.33452594,b,m,b,m,b,m,a,a,b,b,b,b,b,b,a,m,m,m,b,b,m,m,b,b,a,m,b,a,m,1
1.4465885,a,a,b,b,m,a,a,m,m,m,b,b,m,b,b,a,m,a,b,m,a,m,b,m,m,m,b,m,a,1
0.5532264,b,a,b,m,m,m,b,a,b,b,b,b,b,b,m,a,m,b,b,b,a,m,b,a,a,m,m,m,m,1
0.031910934,b,a,m,m,a,a,m,a,b,b,b,b,m,b,a,m,m,b,b,m,m,b,a,m,m,m,m,m,m,1
0.0,b,a,b,a,a,a,a,a,m,a,a,b,b,b,a,b,b,m,b,m,b,m,m,a,m,m,b,m,a,1
0.0,b,a,m,m,a,a,b,a,b,b,b,b,b,b,a,m,b,b,b,m,m,b,b,m,a,m,b,m,a,1
0.0,b,a,b,a,a,a,a,a,b,a,a,a,b,m,b,m,b,a,b,m,b,m,a,m,a,a,a,a,a,1
0.59388864,b,a,b,m,m,a,m,m,m,m,b,b,b,b,a,a,m,a,b,m,m,m,a,a,a,m,a,a,a,1
0.16129418,m,m,a,m,m,a,m,m,m,a,b,b,b,b,b,a,b,a,b,m,a,m,a,a,a,m,m,a,a,1
0.08287303,b,a,m,a,a,a,b,a,b,b,b,b,b,b,m,m,b,b,b,m,m,m,m,m,a,m,a,a,a,1
0.35268572,b,a,b,a,a,a,m,a,m,b,a,b,b,b,a,b,b,a,b,m,m,m,m,b,a,m,b,m,a,1
0.40857813,b,a,b,m,m,m,a,a,b,b,b,b,b,b,m,b,b,m,b,m,a,b,a,m,a,m,b,m,a,1
0.7209242,m,a,b,b,m,m,m,a,m,b,b,b,b,b,m,m,m,m,b,m,a,m,b,b,m,m,a,m,a,1
1.4427402,m,m,a,a,m,a,b,b,m,m,b,b,b,a,b,a,b,b,m,m,a,m,m,m,a,m,a,a,a,1
0.6600642,b,a,b,a,m,a,m,a,b,b,b,b,b,b,a,b,m,m,b,b,m,m,m,b,a,m,a,a,a,1
0.12857836,m,a,b,a,a,a,m,m,m,b,b,b,b,b,a,a,m,m,b,m,m,m,a,b,m,a,a,a,a,1
0.40001437,b,m,m,a,b,a,b,m,b,b,b,b,b,b,b,m,m,a,b,b,m,m,m,b,m,m,b,m,m,1
1.203571,a,m,m,b,m,a,b,m,m,a,a,b,m,b,a,a,m,a,b,m,m,m,m,b,a,m,m,a,a,1
0.25976947,m,a,b,b,b,m,m,a,b,b,b,b,b,b,m,a,m,a,b,b,m,m,a,b,a,m,m,m,m,1
0.0,b,a,b,a,a,a,b,m,b,b,b,b,b,b,a,m,b,a,b,b,m,m,m,m,m,m,a,m,a,1
2.1941977,a,m,b,b,m,m,a,m,b,b,b,b,b,b,m,a,m,b,b,b,a,m,a,m,b,m,b,m,a,1
1.4414356,m,a,b,m,b,m,m,a,m,m,a,b,b,b,b,a,a,a,b,m,m,m,a,a,m,m,b,a,m,1
0.0,b,a,m,m,m,a,b,a,b,b,b,b,b,b,a,b,b,b,b,m,a,m,a,m,a,m,b,m,a,1
0.13581061,m,b,m,a,m,a,m,a,m,a,a,m,b,b,b,m,b,a,b,b,a,m,a,a,a,a,a,a,a,1
0.6356821,b,a,m,a,a,a,a,a,b,a,a,m,m,m,b,m,b,a,b,m,m,m,m,a,m,m,b,a,a,1
0.39334035,a,m,b,m,m,m,m,a,m,b,a,b,b,b,m,a,m,b,b,m,a,m,m,m,a,a,m,m,a,1
0.2710227,m,m,b,m,b,m,m,a,b,b,a,b,b,b,b,b,b,a,b,b,m,b,a,a,a,m,m,m,a,1
0.026466671,b,a,m,m,m,a,b,m,m,m,b,b,b,b,m,a,b,b,a,a,a,m,a,b,m,a,m,a,a,1
0.40015593,a,m,m,b,a,a,m,a,m,b,a,b,b,b,m,a,m,a,b,m,m,m,b,b,a,a,a,a,a,1
