path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,class
6.541247,b,a,m,m,m,m,b,a,m,b,a,b,m,a,a,b,b,a,m,a,m,m,a,a,a,a,m,b,m,1
4.442845,b,a,b,b,a,m,m,b,a,b,m,b,b,m,b,m,b,a,a,a,b,b,b,m,b,b,b,a,a,1
7.4115047,b,a,m,b,b,b,b,b,a,b,b,b,b,b,b,b,m,b,a,a,b,m,b,m,b,m,b,b,m,1
10.803427,b,a,b,b,b,b,b,m,a,b,b,b,m,b,b,m,b,b,a,m,b,b,b,b,b,b,b,b,b,1
2.8451598,m,m,m,m,a,b,m,a,a,b,m,b,a,a,m,b,b,a,a,a,a,a,m,a,m,a,a,b,a,1
7.1322465,b,a,b,b,a,b,m,m,m,b,m,b,b,a,b,a,b,b,a,a,m,m,b,m,b,m,b,b,m,1
3.455506,b,b,m,m,m,a,m,a,m,m,a,b,b,a,b,m,m,a,m,a,m,a,m,a,b,m,m,m,a,1
4.936077,b,a,m,b,b,m,b,a,a,m,b,b,b,a,b,m,b,b,a,a,b,b,b,m,b,b,b,m,m,1
4.529045,b,m,m,m,a,a,b,a,m,m,m,b,b,a,b,m,b,m,m,a,m,m,m,a,b,m,m,a,b,1
6.1635413,m,b,a,b,a,m,b,a,m,b,a,a,a,a,m,m,m,a,m,a,m,m,m,a,m,a,a,m,b,1
4.4280276,b,a,m,b,m,m,b,a,m,b,a,m,b,m,b,b,b,b,a,a,m,m,m,a,m,m,m,m,b,1
3.4167356,b,m,a,m,a,m,b,a,m,b,a,b,a,a,b,m,m,m,a,a,m,m,m,a,b,m,b,m,m,1
5.1594753,b,a,m,m,a,m,b,a,m,b,m,b,a,a,m,m,b,a,a,a,m,m,m,a,a,a,m,m,a,1
6.664002,b,a,b,b,m,b,a,m,m,b,b,b,a,b,b,b,b,m,a,m,b,b,b,m,b,m,b,a,m,1
3.6075351,b,b,m,b,b,m,m,a,m,b,b,a,m,b,b,b,b,b,a,a,m,m,m,a,b,m,b,b,m,1
2.1428134,b,a,m,m,a,m,b,a,m,m,a,b,b,a,b,a,b,m,a,a,m,m,m,a,b,a,b,b,m,1
4.119731,m,m,m,m,a,m,m,m,m,b,m,m,m,a,b,b,b,m,a,a,a,a,a,m,a,a,b,b,m,1
9.9836235,b,a,b,b,a,b,a,m,a,b,b,b,a,b,b,b,b,m,a,m,b,m,b,m,b,b,b,b,b,1
6.7955723,b,a,b,b,m,m,b,m,m,b,b,b,b,b,m,m,b,a,a,a,b,b,b,b,b,b,b,b,m,1
2.100353,b,a,m,m,a,m,m,a,b,b,a,m,m,b,b,m,m,a,a,a,a,a,m,m,b,m,b,a,b,1
4.4060555,b,b,m,b,b,a,b,a,b,m,a,m,b,a,b,a,m,a,a,a,a,a,a,a,b,a,a,m,m,1
9.433841,b,a,b,b,m,b,m,m,a,b,b,m,m,a,b,m,b,b,m,m,m,m,m,m,m,b,b,m,b,1
4.7240644,b,b,a,b,b,b,b,a,b,b,a,b,b,m,b,m,b,m,m,a,m,m,m,a,m,a,b,m,b,1
3.3171515,b,a,m,b,b,m,m,a,b,b,m,b,b,a,b,a,b,b,a,a,m,b,b,a,b,m,b,b,a,1
5.4988623,b,a,m,b,b,m,b,a,a,m,m,m,b,a,b,m,b,b,a,a,m,m,m,a,b,a,b,m,b,1
4.239167,b,m,a,m,b,m,b,a,b,b,a,a,b,a,b,b,m,b,a,m,m,a,b,a,a,a,m,a,m,1
4.307488,b,b,m,m,b,a,b,a,m,b,a,m,b,b,m,b,b,b,a,a,m,m,m,m,b,a,b,a,b,1
