path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,class
0.016663281,m,m,a,a,b,m,m,b,m,b,a,m,a,m,m,b,b,b,a,m,a,a,a,m,a,b,a,a,a,0
0.015668835,a,b,a,a,b,a,a,b,a,a,b,b,m,a,a,b,b,b,b,a,a,a,m,a,m,m,a,a,m,0
0.012813556,m,b,a,a,b,a,a,b,m,m,b,a,a,a,a,b,b,b,b,m,a,m,a,a,b,m,a,a,m,0
0.016630497,a,b,a,a,b,m,m,b,a,m,b,a,a,a,b,b,b,b,a,b,a,a,a,a,a,b,a,a,m,0
0.02014392,b,m,a,m,b,m,m,m,m,b,a,a,a,m,m,b,b,b,a,m,a,a,a,a,a,b,a,a,m,0
0.012470515,a,b,a,a,b,m,m,b,a,m,a,b,a,m,m,b,b,b,a,m,a,m,m,m,m,b,a,a,a,0
0.015720183,a,b,a,m,b,a,a,b,b,b,b,a,m,a,m,b,b,b,b,m,a,a,a,m,m,m,a,a,m,0
0.018833915,m,m,m,a,b,a,a,m,a,a,a,b,b,m,a,b,b,m,b,a,a,b,m,m,b,m,m,a,m,0
0.01358452,a,b,a,a,b,a,a,b,a,m,b,a,a,a,a,b,b,b,b,m,m,m,a,a,a,a,a,a,m,0
0.019437362,m,m,m,a,b,a,a,b,a,m,a,b,m,m,a,b,b,b,b,a,a,a,a,a,b,m,m,a,m,0
0.019851554,a,b,a,b,m,b,a,m,a,b,b,a,a,a,b,b,b,b,a,b,a,a,a,a,a,b,a,a,a,0
0.02275432,m,b,a,a,b,m,m,m,b,b,b,b,a,a,m,b,a,m,m,m,a,m,a,a,b,a,a,b,m,0
0.016221305,a,b,a,a,b,m,a,m,m,b,b,a,a,a,a,b,b,b,b,a,a,a,a,a,m,m,a,a,m,0
0.017130036,a,b,a,a,b,m,a,m,m,b,b,a,a,a,m,b,b,b,b,m,a,a,a,a,m,m,a,m,m,0
0.023125269,a,b,m,a,b,a,a,a,a,a,m,a,m,m,a,b,b,b,b,a,a,a,m,m,b,m,m,a,m,0
0.011833721,a,b,a,m,b,m,m,b,a,m,b,m,a,m,m,b,m,b,a,b,a,a,a,a,a,b,a,a,a,0
0.024457794,a,m,a,m,b,m,m,m,m,m,b,b,m,m,b,b,m,m,a,b,a,b,b,m,m,m,a,m,m,0
0.015230557,a,b,a,b,b,m,a,b,m,m,m,a,a,a,m,m,m,b,b,m,m,m,a,a,a,b,a,m,m,0
0.025038963,a,b,a,a,b,b,m,b,m,b,a,a,a,a,b,b,b,b,a,b,a,a,a,b,a,b,a,a,a,0
0.016491389,a,b,a,a,b,m,a,m,m,b,b,a,a,a,m,b,m,b,b,m,a,a,a,a,m,m,a,m,m,0
0.020921303,a,m,m,m,b,b,m,b,m,b,a,a,a,m,b,b,b,b,a,m,a,a,a,a,m,b,a,a,a,0
0.01679651,a,m,a,a,b,a,a,b,m,m,b,a,a,a,m,b,b,b,b,a,a,a,a,a,m,a,a,a,m,0
0.013266949,a,b,a,a,b,b,m,b,m,b,m,a,a,m,m,b,b,b,a,m,a,a,m,b,a,b,a,a,a,0
0.019351615,m,m,m,a,b,m,a,m,m,m,b,b,a,a,a,m,a,m,b,a,a,m,m,a,b,m,a,m,m,0
0.029506125,m,a,a,a,b,m,m,m,b,b,b,a,m,a,m,b,b,m,m,a,a,a,a,a,m,m,a,m,m,0
0.018125152,a,m,a,a,b,b,m,b,m,b,a,a,a,m,m,b,b,b,a,m,a,a,a,a,a,b,a,a,a,0
0.019323833,a,b,a,b,b,b,m,a,m,b,b,a,a,m,b,b,b,m,a,b,a,a,a,m,a,b,a,m,a,0
0.0138751315,a,b,a,a,b,m,m,b,a,m,a,a,a,a,m,b,b,b,a,b,a,m,m,a,m,b,m,a,m,0
0.011711174,a,b,a,a,b,a,a,m,m,m,b,a,a,a,a,b,b,b,b,a,a,m,a,a,m,m,a,a,m,0
0.015921364,a,m,a,a,b,m,a,b,m,m,b,a,m,a,a,b,b,b,b,a,a,a,a,a,m,a,a,a,m,0
0.018080205,a,b,a,a,b,b,m,b,a,b,m,a,a,a,b,b,b,b,a,b,a,a,a,m,m,b,a,a,a,0
0.024420375,a,m,a,a,b,m,m,a,b,b,b,b,a,a,m,a,a,b,b,m,a,m,m,a,m,a,a,m,m,0
0.016748613,a,b,a,b,b,b,m,b,m,b,b,a,a,m,b,b,b,b,a,b,a,a,a,a,a,b,a,a,a,0
0.017024608,a,b,a,a,b,a,a,m,a,a,m,b,b,a,a,m,b,m,b,a,a,a,m,b,b,a,a,a,m,0
0.018322656,a,m,a,a,b,b,m,b,m,b,a,m,a,m,m,b,b,m,a,m,a,a,a,b,m,b,a,a,a,0
0.02121524,b,b,a,a,b,m,m,m,b,b,b,b,a,a,m,m,a,b,b,m,a,m,a,m,m,a,a,m,m,0
0.0166052,a,b,a,a,b,b,m,m,m,b,a,a,a,m,b,b,b,b,a,b,a,a,a,m,a,b,a,a,a,0
0.01881198,a,b,a,m,m,b,m,m,a,b,b,a,a,a,b,b,b,b,a,b,a,a,a,m,a,b,a,a,a,0
0.018071381,m,m,a,a,b,m,a,m,m,m,b,b,m,a,m,b,b,b,b,m,a,m,a,a,m,m,a,a,b,0
0.0132835,a,b,a,a,b,m,m,b,m,b,m,b,a,a,m,b,b,b,a,m,a,a,a,b,a,b,a,a,a,0
0.01686715,m,m,a,a,b,m,m,m,m,b,b,b,a,a,m,a,b,m,b,a,a,a,a,a,b,m,a,m,m,0
0.01963378,m,b,a,a,b,m,m,m,b,b,b,b,a,a,m,a,m,m,m,m,a,a,a,a,b,a,a,b,m,0
0.01884074,a,m,a,a,b,b,m,b,m,b,a,a,a,m,b,b,b,b,a,m,a,a,a,b,a,b,a,a,a,0
0.015929788,a,m,a,a,m,m,m,b,m,b,a,a,a,a,m,b,b,b,a,m,a,a,a,a,a,b,a,a,a,0
0.013037459,m,b,m,a,b,a,m,m,a,m,b,a,m,a,a,m,b,b,m,a,a,b,m,m,m,a,a,a,m,0
0.014659687,a,b,a,a,b,m,a,b,m,m,b,m,a,a,m,m,m,m,b,m,m,m,a,a,b,m,a,m,m,0
0.027360376,m,m,m,a,b,m,m,m,m,m,m,m,m,a,m,b,b,m,b,m,a,m,a,a,m,a,a,a,m,0
0.016076244,m,m,a,a,b,m,m,m,b,m,b,m,m,a,m,m,b,b,b,a,a,m,a,m,b,a,a,m,m,0
0.026261602,m,m,a,b,b,m,a,b,m,b,m,a,m,a,m,b,m,m,b,m,m,a,a,a,a,m,a,a,a,0
0.016071722,a,b,a,m,b,m,m,b,m,m,b,b,a,a,m,b,b,b,b,m,a,m,a,a,m,b,a,m,m,0
0.013086651,a,b,a,a,b,m,m,b,a,m,b,m,a,m,m,b,m,b,a,m,a,a,a,a,a,b,a,a,a,0
0.024983445,m,m,m,m,b,m,m,m,m,m,b,b,m,a,m,a,a,m,b,m,a,m,a,a,b,a,a,m,m,0
0.018901054,a,b,a,a,b,b,m,b,m,b,a,m,a,m,b,b,b,b,a,m,a,a,a,m,a,b,a,a,a,0
0.014012255,a,b,a,a,b,a,a,b,a,a,b,b,m,a,a,m,b,b,b,a,a,m,m,b,b,m,a,a,m,0
0.021262778,a,b,a,a,b,m,a,b,a,a,b,a,a,a,a,b,b,b,b,a,m,a,m,a,m,m,a,a,m,0
0.020385249,a,b,a,a,b,a,a,m,m,m,b,b,b,a,m,m,b,b,b,a,a,m,a,a,b,m,a,a,m,0
0.013172137,a,b,a,a,b,m,m,b,a,b,m,a,a,m,b,b,b,b,a,m,a,a,a,a,a,b,a,a,a,0
0.012442438,a,b,a,a,b,m,m,m,a,m,b,a,a,m,m,b,b,b,a,b,a,a,a,a,a,b,a,a,m,0
0.020515535,a,b,a,m,m,b,m,b,a,b,m,a,m,m,b,b,b,m,a,b,m,a,a,m,m,b,a,a,a,0
0.015336308,a,b,a,m,m,b,m,b,a,b,b,a,a,a,b,b,b,b,a,b,m,a,a,m,a,b,a,a,a,0
0.022334408,a,b,m,a,b,a,a,m,a,a,m,b,b,a,a,m,m,b,b,a,a,m,b,m,b,m,b,a,m,0
0.023695342,a,b,a,m,m,b,m,b,a,b,b,a,m,a,b,b,b,m,a,b,a,a,a,m,a,b,a,m,a,0
0.01916962,a,b,a,m,b,b,m,m,a,b,b,a,b,a,b,b,b,b,a,b,a,a,a,b,b,b,a,m,a,0
0.013966657,a,m,a,a,b,m,m,b,m,b,m,a,a,a,m,b,b,b,a,m,a,a,a,a,a,b,a,a,a,0
0.016561335,m,b,a,a,b,m,a,b,m,m,b,m,a,a,m,b,a,b,b,m,a,a,a,a,m,m,a,m,m,0
0.018919751,a,b,a,a,b,a,a,m,m,m,m,b,m,a,a,b,m,b,b,a,a,m,m,m,b,m,a,a,m,0
0.019164762,m,b,a,a,b,m,m,m,b,b,b,a,a,a,m,m,a,m,b,m,a,a,a,a,m,m,a,m,m,0
0.020546816,m,b,m,a,b,m,m,m,m,m,b,b,a,a,m,a,a,m,m,m,a,m,m,a,b,a,a,m,m,0
0.015776834,m,m,a,a,b,m,m,b,m,m,b,m,b,a,a,b,b,m,b,m,a,m,m,b,b,a,a,a,m,0
0.015089588,a,b,a,m,b,m,m,b,a,m,b,a,a,a,m,b,b,b,m,m,a,m,a,a,a,b,a,a,m,0
0.019983437,m,m,m,a,b,a,a,b,m,m,m,a,b,a,m,b,b,b,b,m,a,m,a,a,m,m,a,a,m,0
0.018574184,m,b,m,m,b,a,a,b,a,m,b,a,m,a,a,m,m,b,b,a,a,a,a,a,a,m,a,a,m,0
0.016596138,a,b,a,a,b,m,a,m,m,m,b,m,a,a,m,a,m,b,m,m,a,a,a,a,m,m,a,m,a,0
0.0149928145,a,b,a,m,b,b,m,m,a,b,m,a,a,m,b,b,b,b,a,b,a,a,a,b,a,b,a,a,a,0
0.014954552,a,m,a,a,b,m,m,b,b,b,a,a,a,m,m,b,b,b,m,m,a,a,a,a,a,b,a,a,a,0
0.017250158,a,b,m,a,b,a,a,b,a,m,m,a,a,a,a,b,b,b,b,a,a,m,a,m,m,m,a,a,m,0
0.015288513,a,m,m,a,b,m,m,m,m,b,a,a,a,m,b,b,b,b,a,m,a,a,m,a,b,b,a,a,a,0
0.016247474,a,b,a,a,b,m,m,m,a,b,m,a,a,a,b,b,b,b,a,m,a,m,a,a,m,b,a,a,m,0
0.01914348,a,b,a,m,m,b,m,m,a,b,m,a,a,m,b,b,b,b,a,b,a,m,m,b,a,b,a,a,a,0
