path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
0.07832054,m,b,a,m,a,a,a,b,b,a,a,b,b,b,m,b,b,a,a,m,b,b,a,a,b,a,b,a,b,0
0.2036723,a,b,a,m,a,a,m,b,a,a,a,b,m,b,a,b,b,m,a,b,b,b,a,a,b,a,b,a,b,0
-0.068650484,m,b,a,a,a,a,a,b,b,a,a,b,m,b,a,b,b,a,a,b,m,b,a,a,b,a,b,a,b,0
0.33392167,b,b,a,m,a,a,a,b,b,a,a,b,b,b,a,b,b,a,a,m,a,m,a,a,b,a,m,a,b,0
0.79520154,a,m,a,m,a,m,a,m,b,m,m,m,b,m,m,m,b,a,b,m,m,m,a,m,m,a,a,a,b,0
0.6282855,m,b,a,m,a,a,m,b,b,m,a,b,b,b,m,b,m,a,a,m,b,m,a,a,m,a,b,a,b,0
0.24247493,m,b,a,a,a,m,a,b,b,a,a,b,m,b,m,b,b,a,a,b,m,b,a,a,b,a,b,a,b,0
0.6974676,a,b,a,m,a,a,b,b,a,m,a,b,b,b,m,b,b,m,a,b,b,b,a,a,b,a,b,m,b,0
0.5336758,a,m,a,a,a,a,a,b,b,a,a,b,a,b,a,b,b,a,a,m,b,b,a,a,m,a,b,a,b,0
0.08138319,a,b,a,m,a,a,a,b,b,m,a,b,m,b,m,b,b,m,a,b,b,b,a,a,b,a,b,a,b,0
-0.14031753,b,b,a,a,a,a,a,b,b,a,a,b,b,b,m,b,b,a,a,m,b,b,a,a,b,a,b,a,b,0
0.06567179,m,b,a,m,a,a,a,b,b,a,a,b,b,b,b,b,b,a,a,b,b,b,a,m,b,m,b,a,b,0
0.22421911,m,b,a,a,a,m,a,b,b,a,a,b,m,b,a,b,b,a,a,b,a,b,a,a,a,a,b,a,b,0
0.28841788,m,b,a,a,a,b,m,b,m,a,a,b,b,b,a,b,b,a,a,m,a,m,b,m,m,a,b,a,b,0
0.71275616,a,b,a,m,m,a,b,m,a,b,m,b,m,b,b,b,m,b,a,b,b,b,a,a,b,a,b,a,b,0
0.36400825,m,b,a,m,a,a,a,b,b,m,a,b,b,b,m,b,b,a,a,m,m,a,a,a,m,a,b,a,m,0
