path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
0.15690395,a,a,a,a,a,b,a,a,b,a,a,b,a,b,a,b,a,a,a,a,a,a,b,b,m,a,m,a,a,0
0.98341745,a,a,a,a,a,b,b,a,b,a,a,b,a,b,a,b,a,m,m,a,a,a,b,m,a,a,b,a,m,0
0.58237517,a,m,a,a,a,b,m,a,b,a,a,b,a,m,m,b,b,a,m,b,a,a,b,b,b,a,m,a,a,0
0.65685254,a,a,m,a,a,b,a,m,b,a,a,b,m,b,a,b,a,a,m,m,a,a,b,b,a,a,b,m,a,0
1.6897508,a,a,m,a,m,b,a,a,m,a,a,b,a,m,a,b,a,a,a,m,m,m,b,m,m,a,b,b,a,0
0.5290353,a,a,a,a,a,b,a,a,b,a,a,b,a,b,a,b,a,a,a,a,a,a,b,m,m,a,b,a,a,0
0.10933628,a,a,a,a,m,b,a,b,m,a,a,m,a,b,m,b,m,a,b,b,a,a,b,b,m,m,b,a,a,0
1.67907,a,a,a,a,a,m,m,m,b,a,a,b,a,b,m,b,m,a,a,a,a,a,b,b,m,a,a,m,a,0
0.30095157,m,a,a,a,a,b,a,a,m,a,a,m,a,b,a,b,a,a,a,m,a,a,b,m,b,a,m,a,a,0
1.363649,m,a,a,a,m,b,m,a,b,a,a,b,a,b,a,b,a,m,a,m,a,a,b,m,m,a,b,m,a,0
0.8921167,a,a,a,a,a,b,m,m,b,a,a,m,a,b,a,b,b,a,a,m,m,a,b,m,b,a,m,a,a,0
0.16770561,m,a,a,a,a,b,b,m,b,a,a,b,a,b,a,b,m,a,a,b,a,a,b,a,b,a,b,a,m,0
1.0639143,a,a,a,a,m,b,a,m,m,a,a,b,m,b,a,b,m,a,a,b,a,a,b,b,m,m,a,a,a,0
0.71386456,m,a,a,a,m,b,a,m,m,a,a,b,a,b,a,m,m,a,m,b,a,a,m,a,m,a,m,m,a,0
0.6104459,a,b,m,a,m,b,b,a,b,a,a,b,a,b,b,b,m,a,a,b,a,a,m,b,m,a,m,b,a,0
0.74702,a,a,a,a,a,b,a,a,b,a,a,b,a,b,a,b,a,a,a,a,m,a,b,b,m,a,b,m,a,0
1.3901327,m,a,m,a,m,m,m,m,b,m,m,b,a,b,m,b,a,a,m,m,b,a,b,m,m,a,b,m,a,0
0.059396606,m,a,m,b,m,b,a,b,a,a,a,b,a,b,m,m,a,b,m,b,a,a,b,m,b,b,m,b,a,0
0.70243245,a,a,a,b,a,b,m,b,b,a,a,m,a,m,a,b,b,a,m,m,b,a,b,b,m,a,b,a,a,0
1.053026,a,a,a,a,a,b,m,a,b,a,a,b,a,b,a,b,m,a,a,m,a,a,b,m,b,a,b,a,a,0
0.17892475,a,a,a,a,m,b,a,a,b,a,a,b,a,b,a,b,m,a,m,m,a,a,b,b,m,a,m,a,a,0
0.77985096,a,a,a,a,m,b,a,a,a,a,a,b,m,b,a,m,m,a,a,b,a,a,b,m,m,a,m,a,a,0
0.946271,a,a,a,a,a,b,a,a,b,a,a,b,a,b,m,b,a,a,a,a,a,a,b,b,b,a,b,m,a,0
0.09851247,b,a,a,b,a,b,b,a,b,a,a,b,b,b,a,b,b,a,a,b,a,a,b,b,b,a,b,a,b,0
0.49344555,m,a,a,a,m,b,m,b,b,a,m,m,b,b,m,m,b,a,a,b,a,b,b,a,m,a,b,a,m,0
0.52455413,a,a,a,a,a,b,a,a,b,a,a,b,a,b,m,b,a,a,m,a,a,a,b,b,b,a,b,a,a,0
0.69626945,m,a,b,a,m,b,m,m,b,a,m,b,a,b,a,b,m,a,a,b,m,a,b,b,b,a,m,a,a,0
0.559184,a,a,a,a,a,b,a,a,b,a,a,b,a,b,a,b,m,a,a,a,a,a,b,m,b,a,b,m,a,0
0.07433056,a,a,a,a,m,m,a,a,a,a,a,m,a,b,m,b,m,a,m,b,a,a,b,b,m,m,m,a,a,0
0.28370506,a,a,a,a,a,b,a,m,b,a,a,m,m,b,m,b,b,a,m,b,a,m,b,m,m,a,b,a,a,0
0.08397441,a,a,m,a,m,b,a,m,b,a,a,m,a,b,a,b,a,a,m,m,a,a,b,b,b,a,a,m,a,0
0.02093061,a,a,a,a,a,b,b,a,b,a,a,b,b,b,a,b,b,a,a,b,a,a,b,m,m,a,b,a,a,0
0.18393128,b,a,a,a,b,b,a,m,b,a,a,m,a,m,a,b,b,a,b,b,m,a,b,b,m,a,m,b,m,0
0.8100471,a,m,a,a,a,m,a,a,b,a,a,b,a,b,m,b,a,a,a,m,a,m,b,b,b,a,m,a,a,0
0.08177026,a,a,a,a,a,b,a,a,b,a,a,b,m,b,m,b,a,a,a,a,a,a,b,b,m,a,b,a,a,0
0.06266371,m,a,a,a,a,b,b,a,b,a,m,b,b,b,a,b,m,a,m,b,a,a,b,a,b,m,m,a,a,0
0.042493403,a,a,m,a,m,b,a,m,b,a,a,m,a,b,a,b,m,a,a,b,m,a,b,b,m,b,m,m,a,0
0.11471154,b,a,m,m,a,b,b,b,b,a,b,m,m,m,a,b,m,a,a,a,m,a,b,b,m,a,b,a,m,0
0.09972654,b,a,a,a,a,b,b,a,b,a,a,b,m,b,a,b,m,a,a,b,a,a,b,b,b,a,b,a,a,0
0.41390842,a,a,a,a,a,b,a,a,b,a,a,b,a,b,a,b,a,a,a,a,a,a,b,b,b,a,m,a,a,0
0.64851004,m,a,a,a,a,b,b,a,b,a,b,b,b,b,m,b,m,a,a,m,a,a,b,m,b,a,b,a,a,0
0.31272775,a,a,a,a,a,b,b,a,b,a,a,b,a,b,a,b,b,a,a,b,a,a,b,m,b,a,b,a,m,0
