path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
16.383041,b,b,a,b,b,b,a,b,b,a,a,b,a,a,a,b,a,m,m,m,a,b,m,b,b,b,m,b,a,0
27.071655,b,b,a,b,b,b,a,b,b,a,b,b,m,m,a,b,b,b,b,b,a,b,b,b,b,b,m,b,m,0
28.03469,b,b,a,b,b,b,a,b,m,a,m,b,m,m,a,b,b,b,b,b,a,b,b,b,b,b,m,b,b,0
19.753834,m,b,a,b,m,b,a,b,a,a,m,b,m,a,a,b,a,b,m,b,a,b,m,b,b,m,m,b,a,0
27.423843,m,m,a,b,b,b,a,b,b,a,m,m,m,a,a,b,m,b,b,b,a,b,m,b,b,a,m,b,m,0
24.789673,m,b,a,b,b,b,a,b,m,m,m,b,m,a,a,b,b,b,b,b,m,b,b,b,b,b,m,b,m,0
30.881289,m,a,m,b,b,b,a,a,m,a,m,b,m,b,a,b,b,b,b,b,a,b,b,b,b,b,m,m,b,0
25.19983,b,b,a,b,b,m,a,b,b,m,m,b,m,m,a,b,b,b,b,b,m,b,b,b,b,b,b,b,m,0
29.36408,b,b,a,b,b,b,b,b,b,a,m,b,m,b,a,b,b,b,m,b,a,b,b,b,b,b,m,b,b,0
27.510923,b,b,a,b,b,b,a,b,b,a,m,b,m,m,a,b,b,b,b,b,m,b,b,b,b,b,b,m,m,0
9.492152,b,b,a,b,b,b,a,b,b,a,m,b,m,m,m,b,a,b,m,b,m,b,a,b,b,b,m,b,a,0
35.99912,m,m,b,b,m,b,a,m,b,a,m,b,m,m,b,b,a,b,m,b,b,b,b,b,b,b,a,m,b,0
28.560312,b,m,a,b,b,b,a,b,a,a,m,b,m,m,a,b,a,m,m,b,m,b,b,b,b,b,m,b,b,0
31.609205,b,m,m,b,b,b,a,b,m,a,m,m,m,a,a,b,a,m,b,b,m,b,b,b,b,b,m,b,b,0
