path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
0.16476765,a,a,b,b,b,a,a,a,a,b,m,b,a,b,b,m,b,a,m,m,m,b,b,b,a,b,a,b,b,0
0.1923662,m,m,b,b,b,a,a,a,m,b,b,b,m,b,b,a,b,a,m,m,m,m,b,b,a,b,a,m,b,0
0.16337992,a,m,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,a,b,m,b,a,b,m,m,b,a,b,b,0
0.1838758,a,m,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,a,b,m,m,m,b,m,a,b,a,b,b,0
0.19824804,a,m,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,m,b,a,m,m,b,b,a,b,a,m,b,0
0.17422925,a,a,b,b,b,a,a,a,a,b,b,b,a,b,b,m,b,a,m,a,m,b,b,b,a,b,a,b,b,0
0.1787787,a,m,b,b,b,m,a,a,m,b,b,b,a,b,b,a,b,a,m,m,m,m,b,m,a,b,a,m,b,0
0.21515027,m,m,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,a,m,a,m,m,b,b,a,b,a,m,m,0
0.17685577,a,m,b,b,b,m,a,a,m,b,b,m,a,b,b,a,b,a,m,m,m,m,b,m,a,b,a,m,m,0
0.1339955,m,a,m,m,m,a,m,m,a,b,m,b,m,b,m,m,b,m,m,a,m,b,b,b,b,b,m,m,m,0
0.1846999,a,a,b,b,b,a,a,a,a,b,b,b,a,b,b,a,b,a,b,m,m,m,b,m,a,b,a,b,b,0
0.19547164,a,m,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,m,b,a,m,m,b,b,a,b,a,m,b,0
0.2230877,a,m,b,b,b,a,a,a,a,b,b,b,a,b,b,a,b,a,b,a,b,m,b,b,a,b,a,b,b,0
0.21655343,a,a,b,b,b,a,a,a,a,b,b,b,a,b,b,a,b,a,b,a,b,b,b,b,a,b,a,b,b,0
0.22115913,a,a,b,b,b,a,a,a,a,b,b,b,a,b,b,a,b,a,b,a,b,m,b,b,a,b,a,b,b,0
0.19574332,a,a,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,a,b,m,m,m,b,b,a,b,a,b,b,0
0.14467236,a,a,m,b,m,a,m,a,a,b,b,b,a,m,m,m,b,a,m,a,m,b,m,b,b,m,m,b,a,0
0.062730476,a,b,m,m,b,m,m,a,m,m,b,m,b,m,m,m,b,a,a,m,a,m,m,m,b,b,m,m,m,0
0.14984968,a,m,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,a,m,m,m,m,b,m,a,b,a,m,b,0
0.19600701,a,a,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,a,b,m,m,m,b,b,a,b,a,b,b,0
0.22271594,a,m,b,b,b,a,a,a,a,b,b,b,a,b,b,a,b,a,b,m,m,m,b,b,a,b,a,b,b,0
0.25716466,a,a,b,b,b,a,a,a,m,b,b,b,b,b,b,a,m,m,b,m,m,b,b,b,a,m,a,m,b,0
0.12427747,m,a,m,m,b,a,a,m,m,b,m,b,a,b,m,m,b,m,b,m,m,m,m,m,b,m,a,m,b,0
0.23470025,a,a,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,a,b,a,m,b,b,b,a,b,a,b,b,0
0.18336847,m,m,b,b,b,m,a,a,m,b,b,b,a,b,b,a,b,a,m,a,m,m,b,m,a,b,a,m,m,0
0.2276443,a,a,b,b,b,a,a,a,a,b,b,b,a,b,b,a,b,a,b,m,b,m,b,b,a,b,a,b,b,0
0.14403597,a,a,b,b,m,a,m,a,a,b,b,b,a,m,m,m,b,a,m,a,m,b,m,b,b,b,m,m,m,0
0.2210813,a,a,b,b,b,a,a,a,a,b,b,b,a,b,b,a,b,a,b,a,m,b,b,b,a,b,a,b,b,0
0.07157617,a,m,b,a,b,m,m,a,m,b,b,m,b,m,m,m,b,m,b,m,m,b,m,b,a,m,a,m,a,0
0.13280609,m,a,m,m,b,a,a,a,m,m,m,b,a,b,b,m,b,m,b,m,m,m,m,b,b,m,a,m,b,0
0.18715705,m,a,m,m,m,a,m,a,m,m,m,m,a,b,b,m,b,a,m,a,m,b,m,b,b,b,a,m,b,0
0.05905558,a,b,m,m,b,b,m,a,a,b,b,m,b,m,m,m,b,a,a,m,m,m,a,m,b,m,m,m,b,0
0.21637541,a,a,b,b,b,a,a,a,a,b,b,b,a,b,b,a,b,a,b,a,b,b,b,b,a,b,a,b,b,0
0.15694048,m,m,b,b,b,a,a,a,m,b,b,b,a,b,b,a,m,a,b,a,m,b,b,b,a,m,m,b,m,0
0.11236902,a,b,b,m,m,m,m,a,a,b,b,m,b,b,m,m,b,a,m,a,a,m,m,m,m,m,a,m,b,0
0.1699422,a,a,b,b,b,a,a,a,a,b,b,b,a,b,b,m,b,a,b,m,b,b,b,b,a,b,a,b,b,0
0.21837622,m,m,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,a,m,a,m,m,b,b,a,b,a,m,b,0
0.17231247,a,a,b,b,b,a,a,a,m,b,m,b,a,b,b,a,b,a,b,a,m,m,b,b,a,b,a,b,b,0
0.21805948,a,m,b,b,b,a,a,a,a,b,b,b,m,b,b,a,b,a,b,a,m,b,b,b,a,b,a,b,b,0
0.18483739,a,a,b,b,b,a,a,a,m,b,m,b,a,b,b,m,b,a,b,m,b,m,b,m,a,b,a,b,b,0
0.17682788,a,a,b,b,b,a,a,a,m,b,m,b,a,b,b,a,b,a,b,a,m,m,b,m,a,b,a,b,b,0
0.19270758,a,m,b,b,b,a,a,a,m,b,b,b,a,b,b,a,b,a,b,m,b,m,b,b,a,b,a,b,b,0
0.15359879,a,m,b,m,b,a,m,m,m,b,b,m,m,b,b,a,b,a,m,m,m,b,m,b,b,b,a,a,a,0
