path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
1.3945094,a,a,a,a,a,b,a,m,a,m,m,m,a,m,b,m,a,a,b,a,m,a,b,m,a,m,m,b,b,0
2.1315665,a,a,m,a,a,b,a,b,a,b,b,b,m,a,b,b,a,a,b,m,b,a,b,b,m,a,m,b,b,0
2.6639504,a,a,a,a,a,b,m,b,a,b,m,m,a,m,m,m,a,a,b,m,m,m,m,b,m,m,m,b,m,0
1.6292598,a,a,a,a,a,b,m,b,a,b,b,m,m,a,b,m,a,a,b,a,m,a,b,b,m,m,m,b,b,0
2.2339003,a,a,a,a,a,b,a,b,a,b,b,m,m,a,b,b,a,a,b,a,b,a,b,b,m,a,m,b,b,0
1.4751449,a,a,a,a,a,b,a,b,a,b,b,m,a,a,b,b,a,a,b,a,m,a,b,m,m,m,m,b,b,0
2.1022341,m,a,b,a,a,b,a,b,a,b,b,b,m,m,b,b,a,a,b,m,m,m,b,b,m,a,m,b,b,0
2.1668973,a,a,m,a,a,b,a,b,a,b,b,b,m,m,b,b,a,a,b,m,b,m,b,b,m,a,m,b,b,0
2.3808513,a,a,m,a,a,b,a,b,a,b,b,b,m,m,b,b,a,a,b,m,m,a,b,b,m,a,m,b,b,0
0.5493508,a,a,m,b,m,b,b,b,a,m,b,m,m,a,b,m,b,a,b,m,m,a,m,b,b,m,m,b,a,0
1.6782447,a,a,a,a,a,b,m,b,a,b,m,m,a,a,b,m,a,a,b,a,m,m,b,b,m,m,m,b,b,0
2.2835028,a,a,a,a,a,b,a,b,a,b,b,b,a,a,b,b,a,a,b,a,b,a,b,b,m,a,m,b,b,0
1.4182934,a,a,a,a,a,b,a,b,a,b,b,m,a,a,b,m,a,a,b,a,b,a,b,b,m,m,m,b,b,0
1.4438227,a,a,a,a,a,b,a,b,a,b,b,m,a,a,b,m,a,a,b,a,b,a,b,b,m,m,m,b,b,0
1.3442693,a,a,a,a,a,b,a,b,a,b,b,m,a,a,b,m,a,a,b,a,b,a,b,b,m,m,m,b,b,0
2.4362295,a,a,a,a,a,b,m,m,a,b,m,m,a,a,b,b,a,a,b,a,m,a,b,b,m,m,m,b,b,0
0.10743878,a,m,b,b,m,b,b,b,m,b,b,m,m,a,b,b,b,a,b,m,b,m,m,b,b,m,m,b,m,0
-0.12978429,b,m,b,b,b,b,b,b,a,a,b,m,m,m,b,m,m,a,m,m,m,m,m,b,b,m,m,b,m,0
1.1495064,a,a,a,a,a,b,a,m,a,b,b,m,m,m,b,b,a,a,b,m,b,a,b,m,m,m,m,b,m,0
2.3827975,a,a,a,a,a,b,m,m,a,b,m,m,a,a,b,b,a,a,b,a,m,a,b,b,m,m,m,b,b,0
1.4146129,a,a,a,a,a,b,a,b,a,b,b,b,a,a,b,m,a,a,b,a,b,a,b,b,m,m,m,b,b,0
1.890185,a,a,m,a,a,b,a,b,a,a,b,m,m,m,b,b,a,a,b,a,m,a,b,m,m,m,m,b,b,0
1.8864622,b,b,b,a,a,b,a,b,m,b,m,m,m,m,b,b,b,b,m,m,m,b,b,m,m,m,m,m,m,0
2.0664277,a,a,a,a,a,b,a,b,a,b,b,m,a,a,b,b,a,a,b,a,b,a,b,m,m,m,m,b,b,0
1.1935619,a,a,m,a,a,b,a,b,a,b,b,b,m,m,b,b,a,a,b,m,m,m,b,b,m,a,m,b,b,0
1.6329712,a,a,a,a,a,b,a,b,a,b,b,m,a,a,b,m,a,a,b,a,b,a,b,b,m,m,m,b,b,0
0.13215248,a,b,b,b,m,b,b,b,a,b,b,m,m,a,b,b,b,a,b,m,b,a,m,b,b,m,m,b,m,0
2.1133173,a,a,a,a,a,b,m,b,a,b,b,m,a,a,b,b,m,a,b,a,b,m,b,m,m,m,m,b,b,0
2.2815845,m,b,m,b,a,b,b,b,m,m,b,m,m,m,b,b,a,b,b,m,m,m,b,m,m,a,m,m,m,0
2.5641365,m,b,b,a,a,b,m,b,a,b,b,m,m,m,b,b,m,m,m,m,m,b,b,a,m,m,m,m,m,0
1.109437,a,b,m,a,m,b,m,m,a,m,a,m,m,m,b,b,m,a,b,m,b,a,m,m,m,a,m,m,a,0
-0.12501101,b,b,b,b,b,b,m,b,a,m,m,b,m,m,b,a,m,a,m,b,m,m,b,b,m,m,m,b,a,0
1.4863211,a,a,a,a,a,b,a,b,a,b,b,m,a,a,b,m,a,a,b,a,b,a,b,b,m,m,m,b,b,0
1.6178608,a,a,m,a,m,b,m,m,a,b,b,m,m,m,b,m,a,a,b,m,m,a,b,m,m,m,m,a,m,0
0.2291679,b,a,b,b,b,m,b,b,a,b,b,m,m,a,b,a,a,a,b,m,a,m,b,m,m,a,m,m,b,0
1.6791784,a,a,a,a,a,b,a,b,a,b,b,m,a,a,b,m,m,a,b,m,m,a,b,b,m,m,m,b,b,0
2.3423042,a,a,m,a,a,b,a,b,a,b,b,b,m,a,b,b,a,a,b,m,m,a,b,b,m,a,m,b,b,0
2.4990816,a,a,a,a,a,b,a,b,a,b,b,m,a,a,b,b,m,m,b,a,b,m,b,b,m,m,m,b,b,0
0.82878155,a,a,m,a,a,b,m,b,a,b,b,a,m,a,b,b,a,a,b,a,m,a,b,m,m,m,m,b,b,0
2.0980458,a,a,a,a,a,b,m,b,a,b,b,m,m,a,b,m,a,a,b,a,m,a,b,b,m,m,m,b,b,0
2.3602436,m,a,a,a,a,m,m,b,a,b,b,m,a,a,b,m,m,m,b,a,b,m,b,m,m,m,m,b,m,0
2.530841,a,a,a,a,a,b,m,b,a,b,b,m,a,a,b,m,m,a,b,m,b,a,b,b,m,a,m,b,b,0
2.4550028,m,a,m,a,a,b,m,m,a,b,b,m,m,m,b,b,a,a,b,m,m,a,b,m,a,a,m,m,a,0
1.7490823,m,a,b,m,a,b,m,b,a,b,b,m,m,m,b,m,a,a,b,m,b,a,b,b,a,a,m,b,m,0
1.5725927,a,a,b,a,a,b,a,b,a,b,b,m,m,m,b,b,a,a,b,m,b,a,b,b,m,a,m,b,b,0
0.65133816,a,b,m,a,b,b,m,b,a,m,b,m,m,a,b,b,b,a,b,m,m,a,a,m,m,a,m,b,a,0
1.7438254,a,a,a,a,a,b,m,b,a,b,b,m,a,a,b,m,a,a,b,a,b,m,b,b,m,m,m,b,b,0
1.2443388,a,a,m,a,a,b,a,b,a,b,b,m,m,m,b,b,a,a,b,m,m,a,b,b,m,a,m,b,m,0
1.2571832,a,a,a,a,a,b,a,b,a,m,b,a,a,m,b,b,a,a,b,a,m,a,b,m,a,m,m,b,b,0
2.1149182,a,a,m,a,a,b,a,b,a,b,b,b,m,m,b,b,a,a,b,m,b,m,b,b,m,a,m,b,b,0
1.4771056,a,a,b,a,a,b,a,b,a,b,b,b,m,m,b,b,a,a,b,m,m,m,b,b,m,a,m,b,b,0
