path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
3.9071286,a,b,a,b,b,m,b,a,b,b,m,b,a,a,b,b,a,m,m,b,b,m,m,b,a,b,a,a,m,0
3.2912467,a,m,a,b,m,m,b,m,b,m,m,b,m,m,b,b,b,m,b,b,b,b,m,b,a,b,m,m,b,0
3.716094,a,b,a,b,b,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,a,0
3.8891146,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,a,0
2.9335194,a,b,a,b,m,m,b,a,b,b,m,b,a,m,b,b,m,m,b,b,b,b,m,b,a,b,a,m,m,0
4.366684,a,b,a,b,m,b,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,m,0
3.0145032,m,m,a,b,m,m,b,m,b,m,m,b,m,m,b,b,b,m,b,b,b,b,m,b,a,b,m,b,b,0
3.422357,a,b,a,b,m,m,b,m,b,b,m,b,m,m,b,b,b,m,b,b,b,b,m,b,m,b,m,b,m,0
3.445163,m,m,a,m,m,m,b,m,b,m,m,b,a,m,b,b,b,m,b,b,b,b,m,b,a,b,m,m,m,0
0.33706945,b,m,m,b,m,b,b,m,b,b,m,m,b,m,m,b,m,a,b,b,b,m,m,b,b,m,b,a,m,0
3.092405,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,a,0
3.214841,a,b,a,b,m,m,b,a,b,b,m,b,a,m,b,b,m,m,b,b,b,b,m,b,a,b,a,m,m,0
5.221365,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,m,m,0
5.1217136,a,b,a,b,b,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,m,0
5.2704587,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,m,m,0
4.83132,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,b,m,b,m,m,b,a,b,a,a,a,0
0.32783267,b,m,m,b,b,b,b,m,b,b,m,m,b,m,b,b,m,a,b,b,b,m,m,b,m,m,b,a,m,0
0.2257045,m,m,m,b,b,m,b,m,b,a,m,b,m,m,b,b,b,m,b,b,b,b,m,b,b,b,b,m,m,0
4.6175966,a,b,a,b,m,m,m,m,b,b,m,m,b,m,m,b,m,a,b,b,b,m,m,b,a,b,m,m,m,0
4.710184,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,m,b,b,b,m,m,b,a,b,a,a,a,0
5.6190057,a,b,a,b,m,m,b,a,b,b,m,b,a,m,b,b,a,a,b,b,b,m,m,b,a,b,a,m,m,0
1.9819254,m,b,a,b,m,m,m,a,b,b,b,b,b,m,b,b,m,m,b,b,b,b,m,b,b,b,a,m,a,0
1.0892154,m,b,m,b,m,m,b,m,m,b,m,b,m,m,b,b,b,b,b,b,b,m,m,b,a,m,a,b,m,0
5.267742,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,m,0
3.7136087,m,m,a,b,m,m,b,m,b,b,m,b,a,m,b,b,b,m,b,b,b,b,m,b,a,b,m,m,b,0
4.6787386,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,b,m,b,a,b,a,a,a,0
0.0013720648,b,m,b,b,m,b,b,m,b,b,m,m,b,m,b,b,a,a,b,b,b,a,b,b,b,m,b,a,m,0
4.7283645,a,b,a,b,b,b,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,a,0
2.7672997,m,m,a,b,m,m,m,m,b,a,m,m,a,m,b,b,b,m,b,b,m,m,m,m,m,b,a,b,b,0
2.9003713,m,b,m,m,m,m,b,m,b,b,m,b,m,a,b,b,b,m,b,b,b,m,m,b,b,m,a,b,a,0
1.6137024,m,m,m,b,b,m,m,m,b,m,m,m,a,m,m,b,b,a,b,b,m,m,m,b,b,m,m,a,a,0
0.5961679,m,m,a,b,m,m,b,m,b,a,m,b,a,m,b,b,b,m,b,b,b,b,m,b,a,b,b,m,m,0
5.110126,a,b,a,b,b,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,b,m,b,a,b,a,a,m,0
