path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
19.193285,a,b,m,a,m,m,m,m,m,b,b,b,m,m,m,b,a,a,a,b,b,m,b,b,a,b,a,a,m,0
53.75609,m,b,m,m,a,m,m,b,a,a,b,a,m,b,a,b,a,b,b,b,b,m,b,b,b,b,a,b,b,0
31.345375,a,b,m,a,a,m,m,m,a,m,b,m,a,b,m,b,a,b,m,b,b,a,m,b,m,b,a,a,m,0
38.964325,a,m,m,a,a,m,m,m,a,b,b,m,m,b,m,m,a,b,a,m,a,a,b,b,b,b,a,m,b,0
50.945847,a,b,m,a,a,m,m,b,m,b,b,a,m,b,b,b,a,b,m,b,m,m,b,b,m,b,a,b,b,0
41.18866,a,b,m,m,a,m,m,b,a,b,m,b,m,m,m,b,a,a,m,b,b,a,b,b,m,b,a,m,m,0
61.854855,m,b,m,m,a,m,m,b,a,a,m,a,a,b,a,b,a,b,b,b,b,m,b,b,b,b,a,b,m,0
70.975136,m,b,m,m,a,m,m,b,m,m,b,a,a,b,a,b,a,b,b,b,b,m,m,b,b,b,a,b,b,0
67.32403,a,b,b,m,a,m,m,b,a,a,m,a,a,b,a,b,a,b,b,b,b,m,m,m,b,m,a,b,m,0
18.533804,a,b,m,m,m,m,m,b,a,b,m,b,b,m,m,b,a,b,b,b,b,m,m,b,a,b,m,m,b,0
22.474245,a,b,m,m,a,m,m,m,a,b,b,b,a,b,m,b,a,b,a,b,b,a,m,b,m,b,a,m,b,0
48.932014,a,b,m,a,a,m,m,b,m,b,b,a,m,b,b,b,a,b,m,b,m,m,b,b,b,b,a,b,b,0
40.64417,a,b,m,a,a,m,m,b,a,m,b,m,a,b,m,b,a,b,m,b,b,a,b,b,m,b,a,m,m,0
28.138748,a,b,m,a,a,m,m,m,a,b,b,m,m,b,a,b,a,b,m,b,b,a,b,b,m,b,a,a,b,0
40.366875,a,b,m,a,a,m,m,b,a,m,b,m,m,b,m,b,a,b,m,b,b,a,b,b,m,b,a,m,m,0
40.10396,a,m,m,a,a,m,m,m,a,b,b,m,m,b,m,b,a,b,a,b,b,a,m,b,m,b,a,m,b,0
18.164497,a,m,m,m,m,m,m,b,a,m,b,b,b,b,m,b,a,b,b,b,b,m,b,b,a,m,m,a,b,0
11.537037,a,b,m,a,a,m,m,b,a,a,a,a,m,b,m,b,m,b,b,b,b,b,m,b,a,a,m,b,b,0
58.658207,a,b,m,m,m,m,m,b,a,a,b,a,a,b,a,b,a,b,b,a,b,m,m,b,m,b,a,b,a,0
38.85807,a,m,m,a,a,m,m,m,a,b,b,m,m,b,m,b,a,b,a,b,b,a,m,b,b,b,a,m,b,0
41.61168,a,b,m,m,a,m,m,b,a,m,b,m,a,b,m,b,a,b,m,b,b,a,b,b,m,b,a,b,m,0
102.60836,a,b,m,a,m,m,m,b,a,b,a,a,a,b,m,b,a,b,m,b,b,m,b,b,b,b,a,b,a,0
51.85937,m,b,m,a,a,m,m,m,b,m,m,m,m,b,b,m,a,b,a,b,b,m,b,b,b,b,a,b,m,0
54.49061,a,m,m,a,a,m,m,b,m,m,b,a,a,b,m,b,a,b,b,m,b,a,m,b,b,b,a,m,a,0
59.343037,m,b,m,m,a,m,m,b,a,a,b,a,m,b,a,b,a,b,b,b,b,m,b,b,b,b,m,b,m,0
39.569984,a,b,m,a,a,m,m,b,a,m,b,m,a,b,m,b,a,b,m,b,m,a,b,b,m,b,a,b,m,0
13.154698,a,m,m,m,m,m,m,b,a,b,m,b,b,m,m,b,a,b,b,m,b,m,b,b,a,m,m,a,b,0
15.023166,a,b,m,a,a,m,m,m,a,b,b,m,m,b,m,b,a,b,a,b,b,a,b,b,a,b,a,a,b,0
77.970436,m,b,m,m,m,b,m,b,m,a,m,a,a,m,b,b,a,b,b,b,b,b,a,b,a,a,a,m,a,0
53.97176,a,b,m,a,a,m,m,b,m,m,a,m,m,m,b,m,a,b,m,b,b,m,b,b,m,b,m,b,m,0
15.959981,m,b,m,m,m,m,m,m,a,a,b,m,m,b,m,b,a,b,b,m,b,m,b,b,a,b,a,m,b,0
11.815621,a,b,m,m,m,m,m,b,a,m,a,a,m,m,m,b,m,b,b,b,b,b,m,b,a,a,m,b,m,0
28.215103,a,b,m,a,a,m,m,m,a,b,b,m,m,b,a,b,a,b,a,b,b,a,b,b,m,b,a,a,b,0
52.883286,a,m,m,a,a,m,m,b,a,b,b,m,m,b,b,m,a,b,a,b,a,m,m,b,b,m,a,m,b,0
51.32352,a,b,m,a,a,m,m,b,a,a,a,a,b,m,a,b,a,b,b,b,b,b,a,b,a,a,m,b,b,0
32.868153,a,b,m,m,a,m,m,b,m,b,m,m,m,m,m,b,a,b,m,m,b,a,b,b,m,b,a,m,m,0
40.3525,m,b,m,m,a,m,m,b,m,a,b,a,m,b,a,b,a,b,b,b,b,m,b,b,b,b,a,b,m,0
15.19069,a,a,m,a,a,m,m,m,m,b,b,b,m,b,a,b,a,b,a,b,m,m,b,b,m,b,m,a,b,0
109.655106,a,b,m,a,m,m,m,b,a,m,b,a,m,b,a,b,a,b,b,b,b,m,b,b,b,b,a,b,m,0
41.963165,a,b,m,a,a,m,m,m,a,b,b,m,m,b,m,m,a,b,a,m,a,a,b,b,b,b,a,a,b,0
13.866696,a,a,m,a,a,m,m,m,m,b,b,b,m,b,a,b,m,b,a,b,b,a,b,b,a,b,a,a,b,0
29.736582,a,b,m,a,a,m,m,m,a,m,b,a,a,b,m,b,a,b,b,b,b,a,m,b,a,b,a,a,b,0
50.793957,m,b,b,b,m,m,m,b,a,a,b,a,a,b,b,b,m,b,b,b,b,m,m,b,a,a,a,b,m,0
57.033752,a,b,b,m,a,b,m,b,m,a,b,a,m,b,b,b,m,b,b,m,b,m,b,b,b,b,a,b,m,0
50.147537,m,b,m,m,a,m,m,b,a,a,b,a,m,b,a,b,a,b,b,b,b,m,m,b,b,b,a,b,m,0
10.447356,m,m,m,m,m,m,m,b,a,a,m,m,m,m,m,b,a,b,m,m,b,m,m,b,a,b,m,b,m,0
20.691336,a,b,m,m,a,m,m,m,a,b,b,m,a,m,m,b,m,b,a,b,b,a,m,b,m,m,a,a,m,0
37.15295,m,b,m,b,a,m,m,b,m,m,m,m,b,b,m,b,m,a,b,b,b,m,m,b,m,b,a,b,m,0
20.906485,a,b,m,a,m,a,m,m,m,b,m,b,m,m,m,b,a,a,a,b,b,m,b,b,m,b,a,m,m,0
69.00206,m,b,m,m,a,m,m,b,m,m,b,a,a,b,a,b,a,b,b,b,b,m,m,b,b,b,a,b,b,0
66.44006,m,b,m,m,a,m,m,b,a,a,m,m,m,b,a,b,a,b,b,b,b,m,m,b,b,b,m,b,m,0
62.181675,m,b,m,m,a,m,m,b,a,a,m,a,a,b,a,b,a,b,b,b,b,m,b,b,b,b,a,b,m,0
7.2177534,a,b,m,a,a,m,m,m,a,b,b,b,a,b,m,m,b,b,a,b,b,m,b,b,m,b,a,a,b,0
52.595432,a,b,m,a,a,m,m,b,a,m,b,m,m,b,b,m,a,b,m,b,m,m,m,b,b,a,a,a,b,0
14.480633,a,m,m,a,a,m,m,m,a,b,b,m,m,m,a,b,a,b,a,m,m,a,b,b,m,b,a,a,b,0
11.57789,m,b,m,m,m,m,m,b,a,a,b,m,m,b,b,b,a,b,b,m,b,m,b,b,a,b,m,m,b,0
52.789955,a,b,m,m,a,m,m,m,a,m,b,m,m,b,m,m,a,b,a,b,a,m,b,b,m,b,a,a,b,0
66.130104,a,b,b,m,a,m,m,b,a,a,m,a,a,b,a,b,a,b,b,b,b,m,m,m,b,m,a,b,m,0
36.048607,a,b,m,a,a,m,m,m,a,m,b,m,a,b,m,b,a,b,m,b,b,a,m,b,a,b,a,a,m,0
104.592575,m,b,m,m,m,m,m,b,m,a,b,a,m,b,a,b,a,b,b,b,b,m,b,b,b,b,a,b,a,0
59.887577,a,b,m,a,a,m,m,m,a,m,b,b,b,b,a,m,a,b,m,m,b,m,b,b,b,b,a,b,m,0
40.257927,a,a,m,m,m,m,m,m,m,b,m,m,m,m,m,b,a,a,a,b,b,a,b,b,a,b,a,a,a,0
55.584743,m,b,m,m,a,m,m,b,m,a,m,a,b,b,m,b,a,b,b,b,b,b,m,b,m,b,a,b,m,0
54.804226,a,b,m,a,a,m,m,b,m,m,b,a,a,m,m,b,a,b,b,m,b,a,b,b,b,b,a,b,a,0
41.909435,a,b,m,m,a,a,m,b,a,b,m,m,m,m,m,b,a,b,m,m,b,m,b,b,m,m,a,b,a,0
40.212215,a,b,m,m,a,m,m,b,a,m,b,m,a,b,m,b,a,b,m,b,b,a,b,b,m,b,a,b,m,0
53.18474,m,b,m,m,a,m,m,b,a,a,b,a,m,b,a,b,a,b,b,b,b,m,b,b,b,b,a,b,b,0
6.185999,a,b,m,a,a,m,m,m,a,b,b,b,a,b,m,m,b,b,a,b,b,m,b,b,m,b,a,a,b,0
68.80234,m,b,m,a,a,m,m,m,b,a,m,m,m,b,b,m,a,b,a,b,b,m,b,b,m,b,a,b,m,0
54.181904,a,m,m,a,a,m,m,m,a,m,b,m,m,b,m,m,a,b,a,b,a,m,m,b,b,b,a,a,m,0
10.299872,m,a,a,b,m,a,a,m,b,b,a,b,b,b,a,m,m,b,b,a,a,m,a,a,a,b,a,b,a,1
13.425567,m,a,a,b,m,a,m,m,b,b,a,b,b,b,m,m,b,b,b,a,a,m,a,a,a,b,m,b,a,1
0.0,m,b,b,m,m,b,b,b,m,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,b,b,m,1
26.48931,m,a,a,b,m,a,m,m,b,b,a,b,b,b,m,m,b,b,b,a,a,m,a,a,a,b,b,b,a,1
