path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
0.5517867,m,b,a,b,b,b,m,a,b,a,m,b,m,m,m,m,b,m,m,b,m,a,a,b,a,m,b,b,b,0
0.7226092,m,b,a,m,b,m,m,a,b,a,m,m,m,a,m,m,b,b,m,m,b,m,b,b,m,m,b,b,m,0
0.5743947,m,b,m,b,b,m,m,a,b,a,m,b,a,m,m,m,m,m,b,b,b,a,b,b,a,m,b,b,b,0
1.1454865,m,a,b,m,b,b,b,m,b,m,a,b,m,m,m,m,b,b,m,a,a,m,b,b,m,m,m,m,m,0
1.082779,m,b,b,a,b,b,b,b,b,m,a,b,a,a,m,b,b,m,m,m,a,b,b,a,m,m,m,b,m,0
0.6557296,m,b,m,b,b,b,b,b,b,a,m,m,a,a,a,m,m,m,b,a,b,m,b,a,m,m,m,b,m,0
0.37341806,m,b,a,b,b,b,b,m,b,m,b,b,a,a,m,b,m,b,m,a,b,m,b,b,m,m,m,b,m,0
0.7612736,b,b,a,m,b,m,a,a,b,a,a,b,a,a,a,m,m,a,m,b,b,m,b,b,a,m,b,b,m,0
0.23560818,b,b,a,b,b,b,b,m,b,m,b,b,a,a,m,b,m,m,b,a,b,b,b,b,m,m,m,b,b,0
0.78854495,b,b,a,b,b,m,b,a,b,a,m,b,a,a,a,m,m,b,b,m,b,a,b,a,m,m,a,a,m,0
0.6719446,b,m,m,m,b,b,m,a,b,m,m,b,a,a,a,m,a,a,b,m,b,m,b,a,a,m,b,b,b,0
0.9934128,b,m,a,a,m,b,b,m,b,m,m,b,m,m,a,m,m,m,m,b,b,m,a,a,a,m,m,a,m,0
0.2291584,m,a,m,b,b,b,b,a,b,m,b,b,m,a,m,m,b,b,b,a,b,b,b,b,m,m,m,b,m,0
0.5063574,m,b,b,b,b,m,m,a,b,m,m,b,a,m,m,m,m,b,b,m,b,a,b,b,a,m,m,b,m,0
0.6504003,m,b,a,m,b,m,b,a,b,a,m,m,m,a,a,m,a,m,b,a,m,m,b,a,a,m,m,b,m,0
0.52829033,b,b,a,b,b,b,m,a,b,a,m,b,a,m,m,m,b,m,b,m,b,m,b,b,a,m,b,b,b,0
0.40800023,m,b,a,b,b,b,a,b,b,a,b,b,a,a,a,m,m,a,b,a,b,m,b,a,a,m,b,b,b,0
0.18553126,b,a,a,b,m,b,b,m,b,m,b,b,m,a,a,m,m,m,m,a,b,b,b,b,m,m,m,b,m,0
0.3460761,m,b,m,b,b,b,b,a,b,a,b,b,m,a,a,m,m,m,b,a,b,m,b,b,a,m,m,b,m,0
0.44907376,m,b,a,b,b,b,b,a,m,m,b,b,m,a,a,b,m,a,b,m,b,m,a,a,a,a,m,b,m,0
0.68045276,m,b,m,b,b,m,b,a,b,a,m,m,a,a,a,m,b,b,m,a,b,b,b,b,a,m,a,b,m,0
0.55806255,m,b,a,m,b,m,m,a,b,a,b,b,m,a,m,m,b,m,m,m,b,m,a,b,a,m,b,b,m,0
0.5289683,b,b,m,m,b,b,m,a,b,m,m,b,a,a,a,m,m,a,b,m,b,a,b,a,a,m,m,b,m,0
0.9396925,m,m,m,a,m,b,b,b,m,m,a,b,m,m,m,b,m,m,m,a,b,b,a,a,m,a,a,a,m,0
0.37852266,b,b,m,b,b,b,b,a,b,m,m,b,m,a,m,m,m,m,m,m,b,a,b,b,a,m,m,b,m,0
0.6321589,m,b,m,b,b,b,m,a,b,a,m,b,m,a,m,m,b,m,m,b,m,a,b,b,a,m,m,b,b,0
0.64498514,b,b,a,a,b,b,b,a,b,m,m,b,a,a,a,m,a,m,m,m,b,m,b,a,m,m,m,m,b,0
0.8844121,m,m,b,m,b,b,b,m,b,m,m,b,m,m,m,m,b,b,m,a,m,b,b,b,m,m,m,b,m,0
0.7222628,b,b,a,a,m,b,b,b,b,a,a,m,a,a,a,m,m,m,b,a,b,m,b,a,m,m,m,m,m,0
0.1971958,m,b,m,b,b,b,b,m,b,a,m,b,m,a,m,b,m,b,b,m,b,a,b,b,m,m,m,b,m,0
