path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
1.0257086,a,m,a,m,m,m,m,a,a,m,b,m,m,b,b,b,a,a,b,b,a,m,b,m,a,b,a,m,m,0
0.24650137,b,m,b,b,b,m,m,b,m,a,m,a,m,b,b,b,a,a,b,b,a,b,m,m,m,b,a,b,b,0
0.37713474,m,m,a,m,b,m,m,b,m,b,m,a,b,b,m,a,m,a,b,m,a,m,b,m,m,b,a,b,m,0
0.028298313,a,b,m,m,m,b,a,b,a,b,m,b,b,m,b,b,m,a,b,m,b,m,b,m,m,m,a,m,m,0
0.07971404,a,b,m,b,a,m,a,b,b,b,m,a,a,m,b,b,m,a,m,m,m,m,b,m,a,b,m,m,m,0
-0.0107268,a,a,a,m,b,m,m,b,b,b,m,m,m,m,b,b,m,m,b,b,m,m,b,m,a,b,b,b,m,0
-0.13835087,a,b,m,m,m,m,m,b,a,b,m,a,a,m,b,b,m,a,b,b,m,b,b,m,a,b,m,m,m,0
1.0881853,m,a,a,m,b,m,m,a,a,b,m,m,b,b,m,a,m,m,b,b,m,m,b,m,a,b,a,b,m,0
-0.1669308,a,b,m,m,m,m,m,b,a,b,m,b,b,a,b,b,m,m,b,b,b,m,m,m,a,b,a,m,m,0
0.46107823,a,a,a,a,b,m,m,b,a,b,b,m,b,m,b,b,m,m,b,b,m,m,m,m,a,b,m,m,m,0
0.70786214,a,m,a,m,b,m,m,a,a,b,b,a,b,m,b,a,m,m,b,b,a,m,b,m,a,b,a,m,m,0
1.4692981,m,m,a,a,a,b,m,b,m,a,m,m,m,m,m,a,m,m,b,b,b,m,b,m,a,m,m,m,m,0
-0.17818637,a,b,m,m,b,m,m,b,a,b,m,m,b,b,b,b,m,m,b,b,b,m,b,a,m,m,a,m,b,0
0.61282164,b,m,a,m,b,m,m,b,a,b,b,a,b,b,m,b,a,a,b,b,a,m,b,m,m,b,a,b,m,0
1.7213733,a,b,a,a,m,m,m,a,b,a,m,m,a,m,m,a,m,a,a,b,m,a,b,m,a,m,a,b,m,0
0.11049562,m,a,a,m,b,m,m,m,b,b,m,a,a,b,b,b,a,m,b,b,a,m,b,m,a,b,a,m,m,0
0.33767366,a,a,a,m,b,m,m,m,a,b,m,b,a,b,b,b,m,m,b,b,a,b,b,m,a,b,a,b,m,0
-0.05083269,a,m,m,m,m,m,m,b,m,a,m,m,b,m,b,b,m,m,b,b,b,m,b,m,a,b,m,m,b,0
-0.05747635,a,m,m,m,b,m,m,b,a,b,m,b,m,m,b,b,m,a,m,b,b,m,b,m,m,m,m,m,m,0
0.583833,a,m,m,m,a,b,m,a,a,b,b,m,a,b,b,b,a,a,b,b,a,m,b,m,m,m,a,m,m,0
-0.041462786,a,m,a,m,b,m,m,b,m,b,m,m,b,b,b,b,m,a,b,b,b,m,b,a,m,b,m,m,m,0
1.0078558,b,a,m,m,b,m,m,m,a,b,m,m,b,m,b,b,a,m,b,b,a,m,b,m,b,b,a,m,m,0
0.6099906,m,m,a,m,m,m,m,a,a,b,b,m,b,b,b,b,m,a,b,b,a,m,b,m,a,b,a,m,m,0
0.5653611,m,b,m,m,a,m,m,b,b,m,m,m,m,m,m,b,m,a,b,m,a,b,b,a,a,m,b,m,m,0
0.34582967,a,m,m,m,m,b,a,a,m,m,m,a,a,b,b,b,m,m,b,b,a,m,m,m,a,m,a,b,m,0
-0.054024264,m,m,m,m,b,m,m,b,m,b,m,a,b,b,b,b,m,a,b,b,m,m,b,m,m,b,a,b,m,0
0.8027998,a,m,a,a,m,m,m,b,m,b,b,a,b,m,m,b,m,a,m,m,a,m,b,m,a,b,a,b,m,0
0.06004542,m,m,b,m,a,b,m,b,m,b,a,b,b,b,b,b,m,a,b,b,b,m,b,m,a,m,a,m,m,0
1.0879639,m,m,m,m,b,m,m,a,b,m,m,m,a,m,b,m,m,m,b,m,a,m,b,a,a,m,m,b,m,0
-0.2008856,a,m,m,m,b,m,m,b,m,b,m,m,m,m,m,b,m,m,m,b,m,b,m,m,a,m,m,m,m,0
0.6075548,a,a,a,m,m,m,m,a,a,m,b,m,a,m,b,b,m,m,b,b,m,m,b,m,a,b,a,m,m,0
0.8213016,a,a,a,m,b,m,a,a,a,m,b,m,m,b,b,b,m,m,b,b,a,m,b,m,a,m,a,m,m,0
0.41190222,m,a,a,m,b,m,m,m,b,b,m,a,m,m,b,b,a,m,b,b,a,m,b,a,b,b,m,m,m,0
-0.12653494,a,a,m,m,b,m,m,b,a,b,m,b,a,m,b,b,m,m,b,b,b,b,b,m,m,m,m,a,m,0
0.03941816,a,m,a,m,b,m,m,b,a,b,m,m,m,b,b,b,m,a,b,b,a,m,m,a,a,m,a,m,m,0
0.7285828,a,a,a,m,b,m,a,a,m,m,m,m,a,b,b,a,m,m,b,b,a,m,b,m,a,m,a,m,m,0
0.5116936,a,m,a,m,m,m,m,a,a,b,b,m,b,b,b,b,m,a,b,b,m,m,b,m,a,b,a,m,m,0
0.05807201,a,a,a,a,b,m,m,b,a,b,m,m,m,m,b,b,b,a,b,m,a,m,m,a,a,m,a,m,m,0
0.757729,a,a,a,m,m,m,m,a,a,a,m,m,m,m,b,a,a,m,b,b,a,m,b,m,m,b,m,m,m,0
0.8497274,a,m,a,m,b,m,m,a,a,b,b,m,b,b,b,a,a,a,b,b,m,m,b,m,a,b,a,m,m,0
0.24220118,a,m,a,m,b,b,m,m,b,b,b,a,b,m,b,b,m,m,b,b,a,m,b,m,a,b,m,b,m,0
0.21423657,a,b,a,a,a,m,a,b,b,b,m,m,m,m,b,b,m,a,b,b,m,m,b,a,m,b,b,m,m,0
0.3026321,a,m,m,a,b,b,m,m,b,m,m,a,m,b,b,a,m,m,m,b,m,m,m,m,m,m,m,b,m,0
