path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
3.391036,b,a,b,a,m,m,b,a,b,a,a,m,a,m,m,m,m,b,a,m,a,a,a,m,b,b,a,m,a,0
1.1027973,b,a,m,a,m,b,m,b,m,m,a,m,a,a,m,m,m,m,m,a,m,m,a,b,b,b,a,m,a,0
2.2022977,b,a,b,a,m,b,m,m,b,m,a,m,a,m,m,m,m,b,m,m,m,a,m,a,b,b,a,m,a,0
0.4266193,b,b,m,b,m,m,m,m,b,a,m,m,a,b,m,m,m,b,a,m,a,b,m,b,b,b,m,m,b,0
0.2104175,b,b,m,b,b,b,m,b,b,a,a,m,a,b,m,m,m,b,a,a,a,b,m,b,a,b,a,m,a,0
0.32846963,m,b,m,b,m,m,a,a,m,b,m,m,a,b,m,m,m,m,a,m,m,a,b,m,b,b,m,m,b,0
1.4325969,b,b,b,b,a,b,m,b,b,a,m,m,a,b,a,b,m,b,a,m,m,b,a,b,b,b,a,m,b,0
1.6282421,b,b,m,a,m,m,m,m,b,m,a,m,a,m,m,m,m,b,a,m,m,a,m,a,b,b,m,b,a,0
0.0453541,b,b,b,m,m,b,m,m,b,a,m,a,a,b,m,b,m,b,a,m,a,b,b,a,b,b,a,m,a,0
1.8400406,m,m,m,a,b,m,m,b,m,m,a,m,a,a,m,b,m,m,a,a,b,a,a,a,a,b,m,m,a,0
1.8764424,b,a,b,a,m,m,m,m,b,a,a,a,a,b,b,m,m,b,a,m,m,m,a,m,b,a,m,m,a,0
1.2271276,b,b,b,a,m,b,m,m,b,a,a,m,a,b,m,m,m,b,a,m,m,b,m,m,b,b,m,b,a,0
1.6207465,b,b,m,m,a,b,a,b,b,a,m,m,a,b,a,b,m,b,a,a,a,m,m,b,b,b,a,m,a,0
2.6953402,b,a,m,m,m,m,m,b,b,a,a,m,b,b,m,m,m,b,a,m,m,a,m,m,b,b,a,m,a,0
0.028894443,m,m,m,m,m,m,m,b,b,b,b,a,a,b,m,m,m,m,a,a,b,m,m,b,m,b,b,m,a,0
1.6405816,b,m,b,b,m,a,m,a,b,a,a,m,a,b,m,m,m,b,m,m,m,m,m,m,a,b,a,a,a,0
1.0526906,b,b,b,m,b,a,m,a,b,m,a,a,a,b,m,m,a,b,a,m,a,a,m,m,b,b,m,m,a,0
0.0053665685,b,b,m,m,m,b,m,b,m,m,b,b,b,b,m,b,m,b,a,m,b,m,b,a,b,b,m,b,b,0
0.9030302,b,b,m,b,m,m,a,m,b,a,m,m,a,b,m,b,m,b,a,m,a,b,m,m,b,b,a,m,b,0
1.2984813,b,a,b,a,m,m,m,a,b,a,a,m,a,b,m,m,b,b,a,m,a,b,a,m,b,a,a,b,a,0
1.2598463,b,b,m,b,m,m,m,b,b,a,a,b,a,b,m,b,m,b,a,a,b,b,m,m,b,b,a,m,b,0
0.32115886,b,m,m,a,b,m,m,m,b,m,m,m,a,b,m,b,m,b,a,m,b,b,m,a,b,b,b,b,a,0
1.5598048,b,b,b,m,m,m,m,a,b,m,a,m,a,m,m,m,m,b,m,b,a,m,a,a,b,a,a,m,a,0
0.25784463,m,b,b,b,m,b,m,b,b,b,m,m,a,m,b,a,m,m,m,a,m,b,m,b,b,b,a,m,a,0
0.9694468,b,b,m,m,m,m,m,b,b,m,a,m,a,b,m,b,m,b,a,m,b,m,a,a,b,a,m,m,a,0
2.6458163,b,m,b,b,m,b,m,b,b,a,m,m,a,m,m,m,m,b,m,m,m,b,m,m,b,b,a,m,a,0
1.7255554,b,m,b,a,m,m,m,m,b,a,a,m,a,b,m,b,m,b,a,b,m,m,a,m,b,b,m,m,a,0
0.070508756,b,b,m,b,m,b,m,b,b,a,b,m,a,b,m,m,b,m,m,m,m,b,b,m,b,b,m,m,b,0
1.4820929,m,b,m,m,m,m,m,m,b,m,a,m,a,b,m,b,m,b,a,m,m,a,m,m,b,b,m,m,a,0
1.5942988,m,b,b,m,m,m,m,m,b,m,m,m,a,b,a,m,m,m,a,m,m,b,b,m,m,b,a,b,a,0
1.9741689,b,m,m,m,m,m,m,a,b,a,a,m,a,b,m,b,m,b,a,m,a,a,a,m,m,b,a,m,a,0
2.5042198,b,a,b,a,m,m,m,a,b,a,a,m,a,b,m,m,m,b,a,m,a,b,a,a,b,b,a,m,a,0
2.3387232,b,b,b,a,m,m,m,a,m,m,a,m,a,m,m,m,m,b,a,a,m,a,a,a,m,b,m,m,a,0
0.80967563,b,b,b,m,m,b,m,m,b,a,m,m,a,b,m,b,m,b,a,b,m,b,m,m,b,b,a,m,b,0
2.10437,b,b,b,a,m,m,m,m,b,m,m,m,b,m,m,a,m,b,a,m,a,a,a,m,b,a,a,m,a,0
