path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
12.462277,m,a,a,m,b,m,b,b,a,m,b,m,a,b,m,m,a,m,m,a,a,m,m,b,a,b,a,a,b,0
9.771369,a,m,a,b,b,m,m,b,m,a,b,m,m,m,a,m,m,m,m,a,b,a,a,m,b,m,m,m,a,0
11.221994,m,m,m,b,b,b,b,m,a,m,b,b,b,m,m,m,a,m,m,a,a,a,b,a,a,m,b,m,a,0
7.0189843,m,m,b,b,b,a,b,m,a,m,b,b,a,m,m,m,m,a,m,a,m,m,m,a,m,m,b,b,a,0
8.103043,a,a,m,m,b,a,b,a,a,a,a,m,m,m,a,m,a,m,m,a,m,m,a,a,a,m,b,m,b,0
16.517433,a,a,m,m,b,b,m,a,a,a,b,a,a,a,a,m,m,m,b,a,b,m,m,a,b,b,a,a,a,0
11.098262,b,m,b,b,b,m,b,b,a,a,a,b,a,m,b,m,a,m,m,a,m,a,m,a,b,m,a,b,m,0
16.611998,m,a,a,m,b,a,b,m,a,a,a,m,m,m,a,m,a,m,m,a,a,a,b,a,m,m,a,m,a,0
10.418742,b,m,m,m,b,a,b,b,a,a,b,m,m,a,b,a,m,a,m,a,a,a,a,a,b,m,b,m,a,0
11.091855,b,m,a,m,b,m,b,a,a,a,b,m,b,a,m,m,m,m,m,m,b,a,m,a,m,m,b,m,b,0
10.843119,m,m,m,m,b,b,b,b,a,m,a,m,m,a,m,m,a,m,m,a,a,a,b,m,a,m,a,a,m,0
6.0409665,m,m,m,m,b,a,m,a,a,a,a,m,a,m,m,m,m,b,m,a,a,a,b,a,b,b,a,b,b,0
10.607097,b,m,m,b,b,a,b,m,a,a,a,b,b,m,b,m,a,a,a,a,b,a,a,a,b,b,m,m,a,0
11.125035,a,m,m,b,b,a,m,b,a,m,b,b,a,b,a,b,m,m,m,a,m,m,m,a,m,m,b,m,a,0
17.36141,m,m,m,m,b,b,m,m,a,m,a,a,m,m,m,m,m,m,b,a,m,a,b,a,b,m,a,m,a,0
12.9552765,a,a,m,b,b,b,b,b,a,m,a,a,a,m,a,b,a,m,m,a,m,a,a,a,m,b,m,m,m,0
16.73357,m,m,a,m,b,a,m,b,a,m,b,a,a,m,a,a,m,b,b,a,a,m,m,a,m,b,a,a,b,0
10.168713,b,m,b,m,b,a,m,b,a,a,b,b,a,a,b,m,b,m,b,m,b,a,b,a,b,m,m,m,a,0
6.166742,b,m,m,b,b,b,b,b,a,a,b,m,a,m,b,a,a,a,m,a,a,a,b,a,b,b,m,m,a,0
11.519959,m,a,b,m,b,a,b,a,a,m,a,m,m,b,m,m,m,m,m,a,b,m,b,b,m,m,a,a,m,0
7.1484394,a,m,m,b,b,a,b,b,b,a,b,m,m,m,m,m,a,m,m,a,a,a,a,a,m,b,m,m,a,0
