BUY,MNT,Doors,Persons,Lug,Safe,class
vhigh,vhigh,duas,duas,small,low,unacc
vhigh,vhigh,duas,duas,small,med,unacc
vhigh,vhigh,duas,duas,small,high,unacc
vhigh,vhigh,duas,duas,med,low,unacc
vhigh,vhigh,duas,duas,med,med,unacc
vhigh,vhigh,duas,duas,med,high,unacc
vhigh,vhigh,duas,duas,big,low,unacc
vhigh,vhigh,duas,duas,big,med,unacc
vhigh,vhigh,duas,duas,big,high,unacc
vhigh,vhigh,duas,quatro,small,low,unacc
vhigh,vhigh,duas,quatro,small,med,unacc
vhigh,vhigh,duas,quatro,small,high,unacc
vhigh,vhigh,duas,quatro,med,low,unacc
vhigh,vhigh,duas,quatro,med,med,unacc
vhigh,vhigh,duas,quatro,med,high,unacc
vhigh,vhigh,duas,quatro,big,low,unacc
vhigh,vhigh,duas,quatro,big,med,unacc
vhigh,vhigh,duas,quatro,big,high,unacc
vhigh,vhigh,duas,more,small,low,unacc
vhigh,vhigh,duas,more,small,med,unacc
vhigh,vhigh,duas,more,small,high,unacc
vhigh,vhigh,duas,more,med,low,unacc
vhigh,vhigh,duas,more,med,med,unacc
vhigh,vhigh,duas,more,med,high,unacc
vhigh,vhigh,duas,more,big,low,unacc
vhigh,vhigh,duas,more,big,med,unacc
vhigh,vhigh,duas,more,big,high,unacc
vhigh,vhigh,tres,duas,small,low,unacc
vhigh,vhigh,tres,duas,small,med,unacc
vhigh,vhigh,tres,duas,small,high,unacc
vhigh,vhigh,tres,duas,med,low,unacc
vhigh,vhigh,tres,duas,med,med,unacc
vhigh,vhigh,tres,duas,med,high,unacc
vhigh,vhigh,tres,duas,big,low,unacc
vhigh,vhigh,tres,duas,big,med,unacc
vhigh,vhigh,tres,duas,big,high,unacc
vhigh,vhigh,tres,quatro,small,low,unacc
vhigh,vhigh,tres,quatro,small,med,unacc
vhigh,vhigh,tres,quatro,small,high,unacc
vhigh,vhigh,tres,quatro,med,low,unacc
vhigh,vhigh,tres,quatro,med,med,unacc
